Size,Price,Number Available
13,$200,3
13,$204,1
8,$204,1
8,$205,1
11,$206,1
11.5,$206,1
9.5,$209,1
9,$209,1
8.5,$209,1
8,$209,1
10,$209,1
12,$210,2
8.5,$210,2
9,$210,2
10,$210,1
9.5,$210,2
13,$210,1
8,$210,2
11,$210,2
11,$211,1
10,$211,1
9,$211,1
9.5,$211,1
12,$211,1
11.5,$212,1
8,$212,1
11,$212,1
10,$212,1
9.5,$212,1
8.5,$212,1
10.5,$213,1
10,$213,1
9,$213,1
8.5,$214,1
9,$214,1
12,$214,1
8,$214,2
10.5,$214,1
8.5,$215,1
11.5,$215,2
12,$215,1
8.5,$215,1
11.5,$215,2
8,$215,1
13,$216,1
12,$216,1
11.5,$216,1
10,$217,1
10.5,$217,1
11,$217,2
10,$217,1
10,$218,1
7.5,$218,2
13,$218,1
9,$218,1
9.5,$218,1
11,$219,1
12,$220,1
7.5,$220,1
11,$225,1
9,$225,1
10,$225,1
9.5,$225,1
12,$225,1
9.5,$226,1
14,$229,1
9.5,$229,1
11,$230,1
7.5,$230,1
14,$230,2
10.5,$230,1
7,$234,1
7.5,$234,1
7,$235,1
9,$235,1
8.5,$236,1
7.5,$236,1
7,$238,1
7.5,$239,1
7,$240,1
7.5,$240,2
14,$240,1
9,$242,1
11.5,$243,1
11,$245,1
9.5,$245,1
7.5,$245,3
10.5,$245,1
13,$245,1
10,$245,1
15,$245,1
8.5,$245,1
8,$245,1
13,$245,1
10,$245,1
10.5,$248,1
7,$250,1
7.5,$250,1
8.5,$250,1
9.5,$250,1
