Size,Price,Number Available
12,$505,1
8,$505,1
10,$550,1
11,$600,1
10.5,$600,1
13,$600,1
9.5,$650,1
11.5,$650,1
8.5,$700,1
14,$700,1
9,$700,1
9,$750,1
10,$750,1
10.5,$750,1
7,$1,100,1
13,$1,100,1
8,$1,100,1
8.5,$1,100,1
7.5,$1,100,1
9,$1,100,1
9,$700,1
9,$750,1
10,$750,1
10.5,$750,1
7,$1,100,1
13,$1,100,1
8,$1,100,1
8.5,$1,100,1
7.5,$1,100,1
9,$1,100,1
7.5,$1,100,1
11,$1,100,1
9.5,$1,100,1
10.5,$1,100,1
12,$1,100,1
10.5,$2,500,1
12,$2,500,1
8,$2,500,1
9,$2,500,1
10,$2,500,1
