Size,Price,Number Available
12,$120,1
9,$135,1
11,$135,1
10,$135,1
9,$138,1
10,$138,1
9,$139,1
10,$139,1
11,$139,1
11,$144,1
8,$146,1
8.5,$146,1
9.5,$146,1
10.5,$146,1
13,$147,1
8,$147,1
10,$147,1
8.5,$147,1
12,$147,1
10.5,$147,1
8,$146,1
8.5,$146,1
9.5,$146,1
10.5,$146,1
13,$147,1
8,$147,1
10,$147,1
8.5,$147,1
12,$147,1
10.5,$147,1
10.5,$147,1
9.5,$147,2
10,$148,1
10.5,$148,1
13,$148,1
8,$148,1
8.5,$148,1
7.5,$148,1
9,$148,1
12,$148,1
10.5,$147,1
9.5,$147,2
10,$148,1
10.5,$148,1
13,$148,1
8,$148,1
8.5,$148,1
7.5,$148,1
9,$148,1
12,$148,1
