Size,Price,Number Available
10.5,$204,1
7,$200,1
8,$199,1
9.5,$195,1
11,$190,1
10,$190,1
8,$188,1
8.5,$188,1
13,$187,1
11.5,$187,1
10.5,$187,1
11,$187,1
8.5,$186,1
9,$185,1
11,$185,1
13,$185,1
8,$185,1
10,$185,1
11.5,$185,1
13,$182,1
13,$182,1
8,$181,1
9.5,$180,1
8,$180,1
11.5,$180,2
13,$180,1
12,$178,1
12.5,$175,1
11.5,$175,1
12,$175,1
10.5,$170,1
8,$170,1
12,$170,1
8.5,$170,1
9,$165,1
9.5,$165,1
10,$165,1
14,$163,1
12,$161,1
13,$160,1
10.5,$160,1
11.5,$160,1
10,$160,1
14,$160,1
12,$160,1
11,$160,1
14,$155,1
8.5,$150,1
10,$150,1
12,$150,1
10.5,$150,2
11.5,$150,1
13,$150,1
10.5,$140,1
13,$140,1
9,$130,1
9.5,$125,1
12,$125,1
11,$115,1
14,$110,1
10.5,$105,1
10.5,$100,1
9,$100,1
15,$100,1
11,$100,2
10.5,$86,1
9.5,$77,1
10.5,$70,1
8,$70,1
7,$70,1
7,$70,1
7.5,$70,1
10,$70,1
11,$70,1
8.5,$70,1
10.5,$70,1
8,$70,1
15,$70,1
9.5,$70,1
13,$70,1
9,$70,1
12,$70,1
11.5,$35,1
13,$25,1
