Size,Price,Number Available
8,$405,1
8,$400,1
10.5,$371,1
10,$351,1
9,$350,1
10,$350,1
9,$340,1
7,$305,1
11,$300,1
7,$300,1
15,$300,1
13,$300,1
10.5,$300,2
15,$295,1
13,$290,1
9.5,$290,1
8.5,$285,1
8.5,$280,1
9,$280,1
10,$275,1
15,$300,1
13,$300,1
10.5,$300,2
15,$295,1
13,$290,1
9.5,$290,1
8.5,$285,1
8.5,$280,1
9,$280,1
10,$275,1
8.5,$270,1
14,$270,1
11.5,$261,1
9.5,$260,3
11.5,$260,1
14,$251,1
7,$251,1
10,$251,1
11,$250,1
11.5,$250,1
8.5,$270,1
14,$270,1
11.5,$261,1
9.5,$260,3
11.5,$260,1
14,$251,1
7,$251,1
10,$251,1
11,$250,1
11.5,$250,1
