Size,Price,Number Available
8.5,$150,1
9.5,$135,1
10.5,$130,1
9.5,$130,1
8,$125,1
10.5,$121,1
11,$120,1
11,$116,1
7.5,$115,1
7.5,$110,1
9,$110,1
10.5,$106,1
10,$105,1
10.5,$103,1
10,$102,1
10,$101,1
11.5,$101,1
13,$100,1
7.5,$100,1
9.5,$100,1
13,$92,1
11.5,$90,1
12.5,$75,1
9.5,$68,1
7,$60,1
12,$58,1
12,$57,1
9.5,$50,1
4.5,$40,1
6,$40,1
10.5,$40,1
6.5,$40,1
8.5,$40,1
4.5,$40,1
12,$40,1
8,$40,1
5.5,$40,1
12.5,$40,1
11.5,$40,1
10,$40,1
4,$40,1
14,$40,1
5,$40,1
9,$40,1
11,$40,1
7,$40,1
15,$40,1
7.5,$40,1
13,$40,1
8,$35,1
