,Date,Time,Size,Price
0,"Friday, March 8, 2019",4:16 PM EST,9.5,$259
1,"Friday, March 8, 2019",4:15 PM EST,7.5,$270
2,"Friday, March 8, 2019",4:15 PM EST,11.5,$270
3,"Friday, March 8, 2019",4:10 PM EST,9,$242
4,"Friday, March 8, 2019",3:45 PM EST,9,$242
5,"Friday, March 8, 2019",3:44 PM EST,7.5,$270
6,"Friday, March 8, 2019",3:39 PM EST,10,$254
7,"Friday, March 8, 2019",3:37 PM EST,6,$360
8,"Friday, March 8, 2019",3:36 PM EST,7,$335
9,"Friday, March 8, 2019",3:35 PM EST,7,$320
10,"Friday, March 8, 2019",3:34 PM EST,7.5,$270
11,"Friday, March 8, 2019",3:32 PM EST,10,$250
12,"Friday, March 8, 2019",3:31 PM EST,8,$269
13,"Friday, March 8, 2019",3:29 PM EST,11,$264
14,"Friday, March 8, 2019",3:28 PM EST,13,$275
15,"Friday, March 8, 2019",3:20 PM EST,6,$346
16,"Friday, March 8, 2019",3:19 PM EST,13,$272
17,"Friday, March 8, 2019",3:18 PM EST,13,$272
18,"Friday, March 8, 2019",3:17 PM EST,13,$272
19,"Friday, March 8, 2019",3:15 PM EST,8.5,$260
