,Date,Time,Size,Price
0,"Friday, March 8, 2019",4:04 PM EST,9.5,$270
1,"Friday, March 8, 2019",4:00 PM EST,8.5,$270
2,"Friday, March 8, 2019",3:48 PM EST,6,$420
3,"Friday, March 8, 2019",3:19 PM EST,7,$380
4,"Friday, March 8, 2019",2:21 PM EST,8,$285
5,"Friday, March 8, 2019",2:20 PM EST,12,$318
6,"Friday, March 8, 2019",2:18 PM EST,9.5,$270
7,"Friday, March 8, 2019",2:11 PM EST,11,$280
8,"Friday, March 8, 2019",1:50 PM EST,12,$311
9,"Friday, March 8, 2019",1:48 PM EST,9.5,$267
10,"Friday, March 8, 2019",1:34 PM EST,7,$378
11,"Friday, March 8, 2019",1:27 PM EST,5,$350
12,"Friday, March 8, 2019",1:07 PM EST,9,$260
13,"Friday, March 8, 2019",1:05 PM EST,10.5,$280
14,"Friday, March 8, 2019",12:08 PM EST,12,$315
15,"Friday, March 8, 2019",10:48 AM EST,6,$418
16,"Friday, March 8, 2019",10:29 AM EST,7.5,$345
17,"Friday, March 8, 2019",10:14 AM EST,12,$315
18,"Friday, March 8, 2019",10:13 AM EST,10,$274
19,"Friday, March 8, 2019",10:11 AM EST,10,$270
