,Date,Time,Size,Price
0,"Friday, March 8, 2019",4:08 PM EST,10,$375
1,"Friday, March 8, 2019",4:06 PM EST,7,$394
2,"Friday, March 8, 2019",3:57 PM EST,4.5,$400
3,"Friday, March 8, 2019",3:47 PM EST,8,$386
4,"Friday, March 8, 2019",3:47 PM EST,10.5,$375
5,"Friday, March 8, 2019",3:39 PM EST,11,$350
6,"Friday, March 8, 2019",3:39 PM EST,11,$350
7,"Friday, March 8, 2019",3:38 PM EST,5.5,$380
8,"Friday, March 8, 2019",3:36 PM EST,12,$385
9,"Friday, March 8, 2019",3:32 PM EST,7,$394
10,"Friday, March 8, 2019",3:25 PM EST,9,$380
11,"Friday, March 8, 2019",3:19 PM EST,11,$350
12,"Friday, March 8, 2019",3:15 PM EST,8.5,$371
13,"Friday, March 8, 2019",3:14 PM EST,7.5,$391
14,"Friday, March 8, 2019",3:08 PM EST,9,$380
15,"Friday, March 8, 2019",3:03 PM EST,10.5,$370
16,"Friday, March 8, 2019",2:45 PM EST,10.5,$370
17,"Friday, March 8, 2019",2:38 PM EST,4,$419
18,"Friday, March 8, 2019",2:38 PM EST,7.5,$391
19,"Friday, March 8, 2019",2:34 PM EST,9,$361
20,"Friday, March 8, 2019",2:32 PM EST,8.5,$371
21,"Friday, March 8, 2019",2:28 PM EST,11,$350
22,"Friday, March 8, 2019",2:27 PM EST,6.5,$365
23,"Friday, March 8, 2019",2:24 PM EST,11,$350
24,"Friday, March 8, 2019",2:23 PM EST,12,$380
25,"Friday, March 8, 2019",2:23 PM EST,15,$608
26,"Friday, March 8, 2019",2:21 PM EST,13,$365
27,"Friday, March 8, 2019",2:21 PM EST,7,$385
28,"Friday, March 8, 2019",2:21 PM EST,12.5,$400
29,"Friday, March 8, 2019",2:20 PM EST,11.5,$360
30,"Friday, March 8, 2019",2:20 PM EST,8.5,$355
31,"Friday, March 8, 2019",2:19 PM EST,14,$400
32,"Friday, March 8, 2019",2:18 PM EST,8.5,$371
33,"Friday, March 8, 2019",2:18 PM EST,9,$360
34,"Friday, March 8, 2019",2:17 PM EST,5.5,$370
35,"Friday, March 8, 2019",2:16 PM EST,6.5,$375
36,"Friday, March 8, 2019",2:16 PM EST,10.5,$365
37,"Friday, March 8, 2019",2:16 PM EST,7.5,$370
38,"Friday, March 8, 2019",2:16 PM EST,7.5,$370
39,"Friday, March 8, 2019",2:16 PM EST,7,$365
40,"Friday, March 8, 2019",2:15 PM EST,5,$375
41,"Friday, March 8, 2019",2:15 PM EST,10,$380
42,"Friday, March 8, 2019",2:14 PM EST,7.5,$371
43,"Friday, March 8, 2019",2:14 PM EST,9.5,$340
44,"Friday, March 8, 2019",2:14 PM EST,7.5,$372
45,"Friday, March 8, 2019",2:13 PM EST,9.5,$351
46,"Friday, March 8, 2019",2:13 PM EST,6.5,$380
47,"Friday, March 8, 2019",2:13 PM EST,9.5,$355
48,"Friday, March 8, 2019",2:13 PM EST,5,$380
49,"Friday, March 8, 2019",2:13 PM EST,5.5,$380
50,"Friday, March 8, 2019",2:11 PM EST,10.5,$365
51,"Friday, March 8, 2019",2:11 PM EST,10,$353
52,"Friday, March 8, 2019",2:10 PM EST,8.5,$360
53,"Friday, March 8, 2019",2:10 PM EST,6.5,$419
54,"Friday, March 8, 2019",2:07 PM EST,11,$345
55,"Friday, March 8, 2019",2:07 PM EST,11,$350
56,"Friday, March 8, 2019",2:07 PM EST,11,$351
57,"Friday, March 8, 2019",2:06 PM EST,11,$351
58,"Friday, March 8, 2019",2:06 PM EST,11,$352
59,"Friday, March 8, 2019",2:06 PM EST,11,$370
60,"Friday, March 8, 2019",2:06 PM EST,11,$371
61,"Friday, March 8, 2019",2:00 PM EST,10,$381
62,"Friday, March 8, 2019",1:58 PM EST,7.5,$391
63,"Friday, March 8, 2019",1:49 PM EST,10.5,$366
64,"Friday, March 8, 2019",1:48 PM EST,10.5,$367
65,"Friday, March 8, 2019",1:42 PM EST,6,$424
66,"Friday, March 8, 2019",1:42 PM EST,5,$425
67,"Friday, March 8, 2019",1:39 PM EST,7.5,$374
68,"Friday, March 8, 2019",1:38 PM EST,13,$375
69,"Friday, March 8, 2019",1:38 PM EST,5,$382
70,"Friday, March 8, 2019",1:37 PM EST,5.5,$383
71,"Friday, March 8, 2019",1:34 PM EST,12,$389
72,"Friday, March 8, 2019",1:33 PM EST,6.5,$387
73,"Friday, March 8, 2019",1:32 PM EST,11,$384
74,"Friday, March 8, 2019",1:32 PM EST,6,$385
75,"Friday, March 8, 2019",1:32 PM EST,10,$377
76,"Friday, March 8, 2019",1:29 PM EST,7.5,$375
77,"Friday, March 8, 2019",1:28 PM EST,5,$385
78,"Friday, March 8, 2019",1:27 PM EST,6,$402
79,"Friday, March 8, 2019",1:26 PM EST,6.5,$389
80,"Friday, March 8, 2019",1:17 PM EST,11.5,$386
81,"Friday, March 8, 2019",1:14 PM EST,8.5,$371
82,"Friday, March 8, 2019",1:12 PM EST,6.5,$424
83,"Friday, March 8, 2019",12:57 PM EST,6,$420
84,"Friday, March 8, 2019",12:45 PM EST,11,$383
85,"Friday, March 8, 2019",12:38 PM EST,12,$387
86,"Friday, March 8, 2019",12:32 PM EST,6,$420
87,"Friday, March 8, 2019",12:28 PM EST,12,$378
88,"Friday, March 8, 2019",12:24 PM EST,8,$380
89,"Friday, March 8, 2019",12:22 PM EST,7,$393
90,"Friday, March 8, 2019",12:16 PM EST,10,$380
91,"Friday, March 8, 2019",12:04 PM EST,7,$394
92,"Friday, March 8, 2019",12:02 PM EST,9.5,$375
93,"Friday, March 8, 2019",11:57 AM EST,4,$399
94,"Friday, March 8, 2019",11:55 AM EST,12,$386
95,"Friday, March 8, 2019",11:53 AM EST,10,$379
96,"Friday, March 8, 2019",11:46 AM EST,9.5,$367
97,"Friday, March 8, 2019",11:42 AM EST,7.5,$388
98,"Friday, March 8, 2019",11:40 AM EST,12,$384
99,"Friday, March 8, 2019",11:30 AM EST,9.5,$375
100,"Friday, March 8, 2019",11:29 AM EST,6.5,$419
101,"Friday, March 8, 2019",11:27 AM EST,10,$379
102,"Friday, March 8, 2019",11:24 AM EST,9.5,$375
103,"Friday, March 8, 2019",11:22 AM EST,6,$415
104,"Friday, March 8, 2019",11:21 AM EST,6.5,$416
105,"Friday, March 8, 2019",11:19 AM EST,11.5,$389
106,"Friday, March 8, 2019",11:19 AM EST,9,$380
107,"Friday, March 8, 2019",11:11 AM EST,9,$380
108,"Friday, March 8, 2019",11:07 AM EST,12,$376
109,"Friday, March 8, 2019",10:58 AM EST,12,$394
110,"Friday, March 8, 2019",10:56 AM EST,13,$392
111,"Friday, March 8, 2019",10:51 AM EST,8,$389
112,"Friday, March 8, 2019",10:46 AM EST,11,$385
113,"Friday, March 8, 2019",10:44 AM EST,7,$394
114,"Friday, March 8, 2019",10:41 AM EST,12,$389
115,"Friday, March 8, 2019",10:40 AM EST,8.5,$360
116,"Friday, March 8, 2019",10:36 AM EST,9,$379
117,"Friday, March 8, 2019",10:28 AM EST,11,$385
118,"Friday, March 8, 2019",10:13 AM EST,10,$382
119,"Friday, March 8, 2019",10:04 AM EST,9.5,$385
120,"Friday, March 8, 2019",9:58 AM EST,8.5,$387
121,"Friday, March 8, 2019",9:52 AM EST,11,$385
122,"Friday, March 8, 2019",9:51 AM EST,8.5,$382
123,"Friday, March 8, 2019",9:43 AM EST,12,$370
124,"Friday, March 8, 2019",9:43 AM EST,5,$425
125,"Friday, March 8, 2019",9:36 AM EST,4.5,$404
126,"Friday, March 8, 2019",9:31 AM EST,10,$384
127,"Friday, March 8, 2019",9:27 AM EST,10,$384
128,"Friday, March 8, 2019",9:24 AM EST,6,$415
129,"Friday, March 8, 2019",9:23 AM EST,8,$389
130,"Friday, March 8, 2019",9:18 AM EST,6.5,$414
131,"Friday, March 8, 2019",8:48 AM EST,7,$393
