,Date,Time,Size,Price
0,"Friday, March 8, 2019",4:15 PM EST,10.5,$310
1,"Friday, March 8, 2019",4:01 PM EST,9,$339
2,"Friday, March 8, 2019",3:36 PM EST,12.5,$320
3,"Friday, March 8, 2019",3:35 PM EST,10,$315
4,"Friday, March 8, 2019",3:32 PM EST,12,$300
5,"Friday, March 8, 2019",3:27 PM EST,11.5,$337
6,"Friday, March 8, 2019",3:19 PM EST,11.5,$326
7,"Friday, March 8, 2019",3:16 PM EST,10,$305
8,"Friday, March 8, 2019",2:52 PM EST,5,$382
9,"Friday, March 8, 2019",2:46 PM EST,12,$300
10,"Friday, March 8, 2019",2:35 PM EST,13,$320
11,"Friday, March 8, 2019",2:00 PM EST,9,$338
12,"Friday, March 8, 2019",1:34 PM EST,8,$339
13,"Friday, March 8, 2019",1:24 PM EST,12,$303
14,"Friday, March 8, 2019",1:17 PM EST,11,$301
15,"Friday, March 8, 2019",1:05 PM EST,7,$357
16,"Friday, March 8, 2019",1:04 PM EST,10,$319
17,"Friday, March 8, 2019",12:35 PM EST,9,$337
18,"Friday, March 8, 2019",12:35 PM EST,9.5,$349
19,"Friday, March 8, 2019",12:34 PM EST,8.5,$350
