Size,Price,Number Available
9,$794,1
10.5,$839,1
10.5,$850,1
9,$850,1
10,$872,1
9,$878,1
10,$880,1
11,$887,1
11,$888,1
11.5,$895,2
9.5,$899,1
11,$900,1
11.5,$900,1
10.5,$900,2
9.5,$900,1
11,$904,1
10,$912,1
10,$925,1
9.5,$935,1
9.5,$940,1
9,$950,1
10,$950,1
10.5,$950,1
9.5,$972,1
11.5,$975,1
8.5,$983,1
10,$995,1
9,$999,1
11.5,$999,1
10.5,$999,1
11,$1,000,1
9.5,$1,000,1
12,$1,000,1
10.5,$1,000,1
9,$1,000,1
10.5,$1,008,1
10.5,$1,009,1
11.5,$1,024,1
5,$1,024,1
5,$1,025,1
8,$1,025,1
8.5,$1,030,1
8.5,$1,035,1
12,$1,044,1
13,$1,049,1
8,$1,050,1
7.5,$1,050,1
13,$1,050,1
5,$1,050,1
8,$1,051,1
