Size,Price,Number Available
10,$865,1
10,$875,1
8.5,$900,1
10,$900,2
8.5,$910,1
11.5,$910,1
10.5,$915,1
10.5,$920,1
11.5,$930,1
11.5,$935,1
11.5,$942,1
8,$950,1
9.5,$950,1
11.5,$951,1
9.5,$975,1
10.5,$985,1
8,$995,1
10.5,$995,1
11,$999,1
9,$1,000,1
10.5,$1,000,2
10,$1,000,1
10,$1,011,1
11,$1,011,1
10,$1,020,1
10.5,$1,023,1
9,$1,024,1
9,$1,025,1
8.5,$1,029,1
11.5,$1,035,1
9.5,$1,035,1
9.5,$1,040,1
11.5,$1,046,1
9.5,$1,048,1
7.5,$1,050,1
8.5,$1,060,1
11.5,$1,086,1
10,$1,089,1
9,$1,095,1
9,$1,099,1
9.5,$1,100,2
8.5,$1,100,3
12,$1,100,1
10.5,$1,100,1
10.5,$1,123,1
9,$1,128,1
12,$1,130,1
9.5,$1,138,1
8.5,$1,140,1
9,$1,149,2
