Size,Price,Number Available
12,$1,120,1
12,$1,146,1
11,$1,221,1
11,$1,222,1
12,$1,236,1
12,$1,237,1
10,$1,250,1
13,$1,250,1
13,$1,298,1
12,$1,345,1
12,$1,349,1
8,$1,350,1
12,$1,350,1
12,$1,360,1
10,$1,362,1
10,$1,380,1
11,$1,404,1
11,$1,420,1
11,$1,421,1
8,$1,426,1
12,$1,349,1
8,$1,350,1
12,$1,350,1
12,$1,360,1
10,$1,362,1
10,$1,380,1
11,$1,404,1
11,$1,420,1
11,$1,421,1
8,$1,426,1
10,$1,445,1
11,$1,450,1
8,$1,450,1
11,$1,460,1
9,$1,460,1
6,$1,475,1
12,$1,475,1
7,$1,500,1
10,$1,500,2
8,$1,500,1
10,$1,445,1
11,$1,450,1
8,$1,450,1
11,$1,460,1
9,$1,460,1
6,$1,475,1
12,$1,475,1
7,$1,500,1
10,$1,500,2
8,$1,500,1
