Size,Price,Number Available
14,$360,1
14,$367,1
8.5,$375,1
14,$375,1
14,$378,1
10.5,$380,1
9,$386,1
10,$390,1
9,$390,4
11,$390,6
8.5,$393,1
8,$394,1
9,$394,1
9,$394,1
10.5,$394,1
10,$394,1
8,$394,1
9,$395,1
8.5,$395,1
10,$395,2
10.5,$395,1
8.5,$396,1
9,$396,1
10,$396,1
9.5,$397,1
10.5,$397,1
10.5,$397,1
10,$397,2
9,$397,1
11,$398,1
10,$398,1
9,$398,1
8.5,$398,2
8.5,$399,1
10.5,$399,2
11,$399,2
9,$399,5
10,$399,2
11,$400,1
11,$400,5
10,$398,1
9,$398,1
8.5,$398,2
8.5,$399,1
10.5,$399,2
11,$399,2
9,$399,5
10,$399,2
11,$400,1
11,$400,5
