Size,Price,Number Available
4,$525,1
11,$575,1
9,$575,1
10.5,$575,2
10,$588,1
10,$590,1
9,$595,1
10.5,$600,1
10,$600,3
13,$600,1
13,$600,1
14,$615,2
9,$618,1
10,$620,1
13,$620,1
11,$620,1
9,$623,1
12,$625,2
10.5,$625,1
10.5,$645,1
10,$652,1
11,$670,1
10,$674,1
8.5,$674,1
11,$675,1
13,$680,5
11,$682,1
13,$684,1
8.5,$685,1
11,$699,1
9.5,$700,3
8.5,$700,1
6,$715,1
7.5,$720,1
6,$720,1
8,$720,1
8.5,$725,1
11.5,$730,1
9.5,$734,1
11.5,$739,1
6,$745,1
9.5,$749,1
11,$750,1
8,$750,1
6.5,$750,1
9.5,$750,1
8.5,$751,1
12.5,$755,1
9,$755,1
7,$758,1
