Size,Price,Number Available
9,$671,1
9,$672,1
9,$680,1
8,$683,1
10,$683,1
10,$685,1
10,$686,1
8,$688,1
4,$690,1
9,$691,1
8.5,$696,1
8.5,$696,1
9,$698,1
12,$698,1
9,$699,1
10,$699,1
12,$699,1
10.5,$699,1
10.5,$700,1
9,$700,1
8.5,$696,1
8.5,$696,1
9,$698,1
12,$698,1
9,$699,1
10,$699,1
12,$699,1
10.5,$699,1
10.5,$700,1
9,$700,1
12,$700,1
12,$701,1
12,$705,1
8.5,$710,1
11.5,$712,1
11.5,$714,1
8.5,$719,1
9,$720,2
8,$720,1
8.5,$720,1
12,$700,1
12,$701,1
12,$705,1
8.5,$710,1
11.5,$712,1
11.5,$714,1
8.5,$719,1
9,$720,2
8,$720,1
8.5,$720,1
