Size,Price,Number Available
9,$249,1
9,$250,16
8,$250,1
11,$250,1
9,$252,1
9,$253,1
9,$255,7
10,$255,8
9,$258,1
9,$259,1
9,$260,11
10.5,$260,1
8,$260,4
8.5,$260,23
9.5,$260,16
10,$260,12
9.5,$261,1
9,$261,1
9,$262,2
9.5,$262,1
9,$263,1
10,$263,1
10.5,$264,3
8.5,$264,1
9.5,$264,1
11,$265,1
8,$265,2
11.5,$265,2
10.5,$265,15
10,$265,7
8,$265,2
11.5,$265,2
9.5,$265,3
11,$265,13
11,$266,1
9.5,$266,1
10,$266,2
11,$267,1
8.5,$267,1
9.5,$268,1
11,$268,1
9,$268,1
9,$268,1
9,$268,1
8,$268,1
11,$269,1
11.5,$269,1
9.5,$269,1
9,$269,2
7.5,$269,1
