Size,Price,Number Available
13,$290,1
13,$293,1
13,$294,2
13,$295,4
13,$296,1
13,$297,1
12,$297,1
12,$298,1
13,$298,2
13,$299,2
13,$299,2
12.5,$300,5
12,$300,13
13,$300,9
12,$301,1
13,$301,1
12,$303,1
12,$305,4
12,$308,1
13,$308,1
12.5,$309,1
12,$310,2
12.5,$310,1
13,$310,3
12,$313,1
13,$315,3
12,$315,2
12.5,$315,1
13,$317,1
13,$320,2
12.5,$320,2
13,$320,2
12,$322,1
13,$324,1
12.5,$324,1
12.5,$325,2
14,$325,1
13,$325,7
12,$325,5
12.5,$329,1
13,$329,1
12,$329,2
13,$330,4
12.5,$330,1
12,$330,4
12,$333,1
13,$333,1
13,$335,1
14,$335,2
12,$336,1
