Size,Price,Number Available
14,$349,1
14,$350,9
14,$353,1
14,$354,1
14,$355,3
14,$360,2
14,$362,1
14,$365,1
14,$369,1
14,$369,1
14,$370,1
14,$385,2
14,$388,1
14,$390,2
14,$391,1
14,$394,1
14,$395,1
14,$395,1
14,$398,1
14,$399,3
14,$400,5
14,$416,1
14,$420,3
14,$425,1
14,$449,1
14,$450,1
14,$452,1
14,$455,2
12.5,$469,1
12.5,$470,1
12.5,$474,1
12.5,$475,3
14,$475,2
13,$480,3
12,$480,1
13,$482,1
13,$483,1
12,$483,1
12,$484,1
13,$484,1
12,$485,2
13,$488,1
12.5,$490,1
12,$490,1
12,$491,1
14,$495,1
12,$495,1
12,$497,1
12,$498,1
13,$499,2
