Size,Price,Number Available
8,$360,1
8,$367,1
8,$368,2
8,$369,2
8.5,$370,1
10.5,$370,1
8,$370,4
12,$370,2
9,$373,1
10.5,$374,1
9,$374,1
10,$375,1
8,$375,3
12,$375,1
9,$375,4
10.5,$375,3
10.5,$376,1
10,$376,1
10.5,$378,1
8,$378,1
9,$379,2
10,$379,1
10.5,$380,2
9,$380,6
8.5,$380,3
10.5,$380,2
9.5,$380,1
8,$380,1
12,$380,1
10.5,$381,1
10.5,$381,1
10,$382,1
10.5,$382,1
8.5,$384,2
10,$384,1
11,$384,1
10,$385,1
10.5,$385,3
11,$385,4
8.5,$385,2
12,$385,1
8,$385,1
10.5,$386,1
14,$387,2
8,$387,1
9,$387,1
10,$387,1
9,$388,1
10,$388,1
9.5,$389,2
