Size,Price,Number Available
11,$350,10
10.5,$375,4
10.5,$375,4
10,$375,2
9.5,$375,5
9,$379,4
10.5,$379,1
9,$379,1
9,$380,3
10,$380,4
10.5,$381,3
8.5,$382,5
10.5,$382,2
10,$382,3
8.5,$383,1
10,$383,1
10.5,$384,1
8.5,$384,1
9,$384,1
13,$384,4
8.5,$385,1
11,$385,5
13,$385,1
9,$385,1
10.5,$385,2
10,$385,3
10.5,$386,3
10,$386,1
8,$386,1
11.5,$386,4
8,$386,4
11.5,$387,2
8.5,$387,1
8,$387,2
13,$387,1
9.5,$387,4
9.5,$388,1
9.5,$388,2
9.5,$388,1
8.5,$389,1
9.5,$389,1
13,$389,1
11.5,$389,1
10.5,$390,1
9.5,$390,3
9,$390,1
11,$390,1
10,$390,2
7.5,$391,2
10.5,$391,1
13,$391,1
10,$391,1
8.5,$392,1
12,$392,1
10,$392,4
8.5,$392,1
8,$393,2
12,$393,6
7.5,$393,1
7,$394,4
12,$394,3
9.5,$394,2
7,$395,2
11.5,$395,1
10,$395,5
7.5,$395,1
9,$395,1
8.5,$395,1
12,$396,1
10,$396,1
12,$396,1
10,$397,1
13,$397,1
8.5,$398,1
10,$398,2
8,$398,1
10.5,$398,6
11,$399,2
10.5,$399,1
10,$399,1
