Size,Price,Number Available
6,$845,2
6,$850,1
8,$894,1
7,$895,1
7,$899,1
8,$900,1
6,$915,1
11,$925,1
8,$925,1
9,$925,1
7,$930,1
7,$938,1
9,$938,1
10,$950,1
8,$950,1
8,$955,1
8,$965,1
11,$998,1
10,$999,1
12,$1,000,1
11,$1,000,1
11,$1,011,1
12,$1,029,1
12,$1,040,1
10,$1,049,1
12,$1,049,1
13,$1,080,1
10,$1,100,1
8,$1,100,1
13,$1,115,1
12,$1,125,1
10,$1,128,1
11,$1,128,1
9,$1,128,1
10,$1,136,1
7,$1,150,1
12,$1,150,2
12,$1,182,1
12,$1,190,1
11,$1,196,1
8,$1,199,1
9,$1,199,1
9,$1,200,2
10,$1,200,1
8,$1,200,1
7,$1,248,1
8,$1,248,1
12,$1,250,1
10,$1,290,1
8,$1,300,1
