Size,Price,Number Available
13,$384,1
13,$385,1
13,$387,1
13,$388,1
13,$389,1
13,$390,3
13,$398,1
13,$399,2
13,$400,7
13,$405,1
13,$408,1
13,$410,2
13,$415,1
13,$419,1
13,$420,1
13,$425,2
13,$427,1
12.5,$429,2
13,$430,1
12.5,$430,2
12.5,$431,1
12.5,$432,2
12.5,$433,1
12.5,$435,1
12.5,$438,1
12.5,$440,1
12,$440,2
13,$441,1
12,$444,2
10,$445,1
12,$446,1
12,$446,1
10,$447,1
12,$447,1
10,$448,1
14,$449,1
13,$449,2
12,$449,1
9.5,$449,1
10,$449,2
14,$449,1
10.5,$450,1
11,$450,1
12.5,$450,3
10.5,$450,4
9.5,$450,5
13,$450,8
12,$450,4
10,$450,8
14,$450,2
