Size,Price,Number Available
8,$375,1
10,$370,1
10.5,$365,1
12,$365,1
10,$365,1
10.5,$360,1
12,$360,2
10,$360,1
9,$355,1
9.5,$350,1
9,$350,1
13,$350,1
6,$320,1
12,$320,1
5,$310,1
5,$300,2
10,$300,1
5.5,$295,1
10.5,$280,1
6,$270,1
7,$265,1
7,$260,1
10,$250,1
11,$250,2
9,$250,1
10.5,$250,2
6.5,$245,1
6.5,$240,1
8.5,$235,1
12,$235,1
6.5,$233,1
8.5,$233,1
11.5,$230,1
10.5,$225,1
4,$225,1
12.5,$225,1
7,$220,1
10.5,$220,1
8.5,$220,1
4,$217,1
4.5,$215,1
4.5,$210,1
14,$201,1
6,$200,1
8,$200,1
9,$200,3
4.5,$200,1
8.5,$190,1
10,$180,1
4,$180,1
4.5,$215,1
4.5,$210,1
14,$201,1
6,$200,1
8,$200,1
9,$200,3
4.5,$200,1
8.5,$190,1
10,$180,1
4,$180,1
9.5,$180,1
8,$150,2
9.5,$150,1
11.5,$150,1
9,$145,1
9,$140,1
7.5,$135,1
4.5,$131,1
7.5,$131,1
7.5,$120,1
9.5,$180,1
8,$150,2
9.5,$150,1
11.5,$150,1
9,$145,1
9,$140,1
7.5,$135,1
4.5,$131,1
7.5,$131,1
7.5,$120,1
5.5,$106,1
5.5,$100,1
9.5,$100,1
4,$100,1
7.5,$100,1
6,$100,2
11,$85,1
9.5,$70,1
11.5,$50,1
9,$50,1
