Size,Price,Number Available
11.5,$875,1
13.5,$826,1
13.5,$825,1
12,$820,1
8,$801,1
8,$800,1
9.5,$800,1
9.5,$800,1
10.5,$786,1
8.5,$765,1
13,$756,1
13,$755,1
12.5,$750,1
8,$750,1
5.5,$750,2
9.5,$736,1
8,$731,1
7,$720,1
9,$701,1
4.5,$700,1
10,$700,1
8,$700,1
10.5,$700,1
14,$700,1
11.5,$700,1
9,$700,1
10.5,$685,1
10,$660,1
9,$657,1
13,$651,1
8,$650,1
11,$647,1
11,$630,1
6.5,$611,1
6.5,$610,1
11,$602,1
6,$601,2
7.5,$601,1
11,$601,1
7,$600,1
8,$650,1
11,$647,1
11,$630,1
6.5,$611,1
6.5,$610,1
11,$602,1
6,$601,2
7.5,$601,1
11,$601,1
7,$600,1
