Size,Price,Number Available
5,$900,1
12,$826,2
6.5,$800,1
13,$777,2
8,$761,1
8,$760,1
13.5,$760,1
8,$750,1
13.5,$750,1
11,$720,1
11.5,$715,1
9.5,$710,1
7.5,$705,1
9,$703,2
9,$701,1
11,$701,1
11.5,$700,1
11,$700,1
10.5,$700,1
9,$700,1
9.5,$688,1
9,$686,1
10,$658,1
10,$657,1
11.5,$651,1
7.5,$651,1
9.5,$650,1
12.5,$650,1
11,$649,1
15,$614,1
15,$613,1
15,$612,1
5.5,$611,1
5.5,$610,1
12.5,$606,1
12.5,$605,1
8.5,$601,1
10,$600,1
10.5,$600,1
5.5,$600,1
15,$613,1
15,$612,1
5.5,$611,1
5.5,$610,1
12.5,$606,1
12.5,$605,1
8.5,$601,1
10,$600,1
10.5,$600,1
5.5,$600,1
