Size,Price,Number Available
5.5,$1,021,1
5.5,$1,020,1
14,$1,000,1
7,$994,1
6,$921,1
6.5,$906,1
6.5,$901,1
4.5,$900,1
4,$900,1
5,$900,1
7.5,$881,1
7.5,$880,1
10.5,$875,1
9,$865,2
9,$861,1
10,$850,1
11.5,$845,1
9,$820,1
12,$820,1
9.5,$801,1
11.5,$800,2
13,$800,1
8.5,$800,1
6.5,$800,1
9.5,$800,1
14.5,$800,1
10,$800,1
7,$785,1
11,$755,1
9,$755,1
8,$751,1
11,$751,1
6,$750,1
10,$750,1
9.5,$750,1
8,$750,1
8,$746,1
8,$745,1
11.5,$716,1
8,$706,1
13,$705,1
12,$701,1
8,$700,1
9.5,$700,1
12,$700,1
9,$700,1
11.5,$700,1
11,$699,1
11,$687,1
9.5,$687,1
