Size,Price,Number Available
5,$1,660,1
5,$1,650,1
5,$1,500,1
8,$1,275,1
9,$1,250,1
8,$1,210,1
9,$1,150,1
11,$1,136,1
11,$1,117,1
11,$1,111,1
11,$1,100,1
9,$1,086,1
10,$1,081,1
9,$1,080,1
10,$1,079,1
9,$1,070,1
9,$1,050,1
10,$1,050,1
11,$1,049,1
11,$1,000,1
11,$1,100,1
9,$1,086,1
10,$1,081,1
9,$1,080,1
10,$1,079,1
9,$1,070,1
9,$1,050,1
10,$1,050,1
11,$1,049,1
11,$1,000,1
11,$1,000,1
7,$1,000,1
9,$994,1
8,$980,1
14,$976,1
11,$919,1
12,$900,1
8,$900,1
11,$890,1
7,$889,1
11,$1,000,1
7,$1,000,1
9,$994,1
8,$980,1
14,$976,1
11,$919,1
12,$900,1
8,$900,1
11,$890,1
7,$889,1
