Size,Price,Number Available
6.5,$511,1
6.5,$510,1
6.5,$504,1
5.5,$495,1
5.5,$489,1
5.5,$485,1
5.5,$456,1
4.5,$450,1
6,$448,1
6,$447,1
5.5,$442,1
6,$441,1
12.5,$430,1
4.5,$430,1
7,$428,1
4.5,$427,1
7,$427,1
4.5,$426,1
7,$426,1
12.5,$425,1
5.5,$442,1
6,$441,1
12.5,$430,1
4.5,$430,1
7,$428,1
4.5,$427,1
7,$427,1
4.5,$426,1
7,$426,1
12.5,$425,1
7,$420,1
7,$417,1
7.5,$415,1
5.5,$415,1
7.5,$411,1
7.5,$410,1
12.5,$410,1
6,$410,2
6,$408,1
13,$401,1
7,$420,1
7,$417,1
7.5,$415,1
5.5,$415,1
7.5,$411,1
7.5,$410,1
12.5,$410,1
6,$410,2
6,$408,1
13,$401,1
