Size,Price,Number Available
16,$355,1
6.5,$300,1
6.5,$286,1
5.5,$279,1
6,$272,1
6.5,$270,1
14.5,$270,1
12.5,$270,1
6,$270,1
4.5,$268,1
6,$267,1
6,$266,1
13.5,$265,1
12.5,$265,1
5.5,$263,1
6.5,$261,1
5,$261,1
6.5,$260,1
14,$260,1
6.5,$255,1
6.5,$255,1
4.5,$252,1
6.5,$252,1
6,$251,1
5.5,$251,1
5,$251,1
6,$250,3
11,$250,1
7.5,$250,1
13.5,$250,1
5.5,$250,1
5,$250,1
7,$250,2
13,$250,1
9.5,$248,1
5,$247,1
9.5,$247,1
5,$246,1
12,$246,1
10.5,$245,1
12,$245,1
11.5,$245,1
13,$245,2
9.5,$245,1
5,$245,2
10.5,$245,1
9.5,$244,1
8,$244,1
11.5,$243,1
10.5,$242,1
