Size,Price,Number Available
9.5,$425,1
11,$420,1
11.5,$400,1
15,$400,1
9,$393,1
9,$392,1
11,$380,1
6.5,$380,1
9,$375,1
7,$370,1
8,$370,1
8,$366,1
9,$365,1
10.5,$365,1
10,$365,1
6,$362,1
6.5,$362,1
9,$361,1
10.5,$360,1
6,$360,1
10,$355,1
11.5,$355,1
8,$355,1
11.5,$350,1
6.5,$350,1
10.5,$350,1
9.5,$350,1
5.5,$326,1
10,$325,1
7,$325,1
7,$325,1
9,$325,1
5,$322,1
5,$321,1
14,$320,1
11,$320,1
7,$319,1
7.5,$319,2
5,$318,1
7,$317,1
5.5,$317,1
8,$315,1
9,$311,1
8.5,$310,1
9,$310,1
6.5,$310,1
14,$307,1
12,$306,1
11.5,$305,1
12,$305,1
