Size,Price,Number Available
4.5,$750,1
12.5,$650,1
6.5,$600,2
9.5,$578,1
9.5,$578,1
13,$575,1
12,$571,1
13,$565,1
10,$559,1
10,$558,1
6,$555,2
14,$544,1
11,$543,2
9.5,$542,1
11,$541,1
9,$535,2
11.5,$534,1
12,$532,1
10,$532,1
10,$531,1
14,$530,1
7,$530,1
10,$530,1
8,$529,2
11,$528,1
10,$526,1
5.5,$526,2
10.5,$526,2
10.5,$526,1
5.5,$525,1
9,$525,1
7,$522,1
8,$521,1
7.5,$521,1
10.5,$521,1
7,$520,1
7.5,$520,1
7,$518,1
8.5,$513,2
7.5,$511,1
9.5,$510,1
9,$509,1
10,$500,1
12.5,$500,1
6,$500,1
10.5,$500,1
8.5,$500,1
6.5,$500,1
13,$490,1
10.5,$480,1
