Size,Price,Number Available
15,$605,1
16,$455,1
3.5,$400,1
16,$400,1
6,$395,1
6,$390,1
6.5,$385,1
6.5,$380,1
6.5,$378,1
14.5,$375,1
14,$371,1
14,$370,1
6.5,$370,2
6,$370,1
5.5,$361,1
6.5,$360,1
6,$360,1
5.5,$360,1
5.5,$355,1
6.5,$352,1
6.5,$351,1
7,$350,2
6,$350,1
6.5,$350,1
6.5,$345,1
7,$342,1
6.5,$340,1
6,$340,1
5,$340,1
14,$338,1
14,$336,1
5.5,$336,1
14,$335,1
5.5,$333,1
6.5,$330,1
5.5,$330,1
7,$326,1
12.5,$325,1
5,$325,2
7,$322,1
14,$320,1
4,$320,1
7,$315,1
13.5,$312,1
6.5,$310,1
13.5,$310,1
7.5,$310,1
13,$310,1
4.5,$308,1
13,$307,1
