Size,Price,Number Available
16,$451,1
16,$450,1
14.5,$410,1
7,$400,1
14.5,$400,1
3.5,$400,1
5.5,$392,1
4.5,$392,1
7,$390,1
6.5,$390,1
5.5,$387,2
4.5,$385,1
7,$385,1
6,$381,1
5.5,$380,1
6.5,$380,1
7.5,$380,1
6,$380,1
6,$378,1
6.5,$377,1
6,$377,1
8,$376,1
6.5,$376,1
14.5,$375,1
7,$375,1
5,$375,1
5.5,$375,1
6,$374,1
6.5,$374,1
6.5,$373,1
6,$373,1
6.5,$372,1
6,$372,1
5.5,$372,1
7.5,$371,1
6.5,$371,1
5,$371,1
8.5,$370,1
7.5,$370,2
5,$370,1
5.5,$369,1
5,$368,1
7,$368,1
6,$367,1
7,$367,1
4.5,$366,1
7,$366,1
5.5,$365,2
7,$365,1
4.5,$365,2
