Size,Price,Number Available
6,$468,1
5.5,$456,1
5,$451,1
6,$445,1
6,$444,1
6,$441,1
5,$440,1
5.5,$440,2
6.5,$436,1
6,$436,1
6.5,$435,1
14.5,$430,1
6.5,$430,1
5,$430,1
5,$425,1
4.5,$424,1
4.5,$423,1
4.5,$422,1
6,$420,1
17,$415,1
6,$412,1
6,$411,2
4.5,$410,1
7.5,$405,1
5,$405,1
5,$403,1
6,$402,1
17,$401,1
6.5,$400,1
13.5,$400,1
13.5,$400,1
5,$396,1
4.5,$395,1
7,$395,1
6.5,$394,1
4.5,$393,1
7,$391,1
13.5,$391,1
13.5,$390,1
7,$389,1
5,$386,1
7,$385,1
5,$383,1
7,$382,1
5.5,$380,1
6,$380,1
5,$376,1
12.5,$375,1
7,$372,1
7.5,$371,1
