Size,Price,Number Available
16,$475,1
15,$411,1
15,$410,1
15,$405,1
14.5,$401,1
16,$400,1
12.5,$390,1
6,$385,1
12.5,$380,1
12,$375,1
4.5,$372,1
4.5,$371,1
4.5,$370,1
4,$370,1
8,$370,1
4,$366,1
5.5,$366,1
4.5,$366,1
5.5,$365,1
7,$365,1
7,$365,1
4,$365,1
6.5,$365,1
5,$361,1
5,$360,1
4.5,$360,1
7.5,$360,1
7,$360,1
13,$357,1
7.5,$356,1
11.5,$355,1
6.5,$355,1
8,$355,1
7.5,$355,1
7,$355,1
6,$355,1
7,$354,1
10.5,$354,1
9,$354,1
5.5,$353,1
10.5,$353,1
5.5,$352,1
7,$352,1
11.5,$352,1
4.5,$352,1
10,$352,1
4,$352,1
4.5,$351,2
8.5,$351,1
4,$351,1
5.5,$351,1
8.5,$351,1
10,$351,1
4.5,$351,2
10,$350,2
13,$350,1
4.5,$350,2
5.5,$350,2
7.5,$350,1
8.5,$350,3
8.5,$350,3
14,$350,2
7,$350,4
6.5,$350,1
8,$350,3
6,$350,3
4,$350,1
7.5,$349,1
9,$348,1
7,$347,1
9,$346,1
5,$346,1
11.5,$345,1
8.5,$345,2
7,$345,1
9.5,$345,1
10.5,$345,1
5,$345,1
12,$343,1
9,$342,1
10.5,$341,1
8,$340,1
6,$340,1
12,$340,2
10,$340,1
11.5,$340,2
5,$340,1
13,$340,3
8.5,$340,2
7,$340,1
6.5,$340,1
12.5,$340,1
9,$340,1
6.5,$338,1
9,$336,1
4.5,$336,1
8.5,$336,1
10.5,$336,1
9.5,$336,1
9.5,$335,1
