Size,Price,Number Available
12,$986,1
13,$906,1
13,$900,1
10,$891,1
10,$890,1
10,$870,1
9,$847,1
9,$835,1
9,$825,1
9,$806,1
11,$804,2
9,$801,1
9,$800,1
15,$800,1
12,$790,1
11,$770,1
8,$766,1
11,$761,1
13,$760,1
8,$760,1
11,$760,1
9,$751,1
13,$750,1
8,$750,1
9,$750,1
7,$730,2
8,$730,1
7,$725,2
13,$701,1
7,$700,1
14,$700,1
13,$700,1
8,$696,1
6,$670,2
7,$657,1
9,$650,1
6,$648,1
9,$550,1
10,$450,1
12,$444,1
11,$400,2
8,$400,1
10,$400,1
12,$400,1
13,$400,1
9,$400,1
9,$399,1
7,$350,1
10,$350,1
8,$250,1
