Size,Price,Number Available
15,$675,1
15,$670,1
16,$630,1
17,$595,1
15,$550,1
4.5,$520,1
6.5,$520,1
5.5,$510,1
4.5,$500,1
4.5,$499,1
7,$492,1
7,$492,1
6.5,$490,2
5.5,$486,1
7,$485,1
5,$483,1
5,$482,1
7.5,$480,1
4.5,$480,2
7,$478,1
5,$475,1
5,$473,1
6,$473,1
6,$472,1
5,$470,1
8,$470,1
5.5,$470,1
8.5,$469,3
8.5,$465,1
8,$464,1
7,$461,1
5,$461,1
5.5,$460,2
7,$460,1
7.5,$460,1
5,$458,1
8,$455,1
8,$452,1
8.5,$452,1
6,$451,1
4.5,$451,1
8.5,$451,1
8.5,$450,1
7,$450,1
6,$450,3
6.5,$450,1
5.5,$450,1
7,$445,1
7.5,$445,1
4,$445,1
