,Date,Time,Size,Price
0,"Tuesday, March 5, 2019",7:38 PM EST,11.5,$160
1,"Saturday, March 2, 2019",10:01 AM EST,9.5,$191
2,"Thursday, February 28, 2019",11:56 AM EST,9,$324
3,"Tuesday, February 26, 2019",11:45 PM EST,13,$249
4,"Tuesday, February 26, 2019",1:52 AM EST,9.5,$244
5,"Monday, February 25, 2019",4:24 PM EST,9.5,$228
6,"Friday, February 15, 2019",4:44 PM EST,11,$298
7,"Tuesday, February 12, 2019",7:26 PM EST,10.5,$325
8,"Monday, February 11, 2019",3:01 PM EST,9,$185
9,"Saturday, February 9, 2019",3:22 PM EST,13,$150
10,"Friday, February 8, 2019",4:18 PM EST,9.5,$200
11,"Wednesday, February 6, 2019",9:13 PM EST,9,$200
12,"Tuesday, February 5, 2019",3:31 PM EST,11,$297
13,"Sunday, February 3, 2019",10:42 PM EST,12.5,$225
14,"Saturday, February 2, 2019",10:23 PM EST,10.5,$330
15,"Tuesday, January 29, 2019",2:34 PM EST,13,$150
16,"Saturday, January 26, 2019",3:33 PM EST,9,$177
17,"Wednesday, January 23, 2019",7:49 PM EST,12,$298
18,"Wednesday, January 23, 2019",12:23 PM EST,12,$255
19,"Monday, January 21, 2019",3:32 PM EST,13,$250
20,"Friday, February 8, 2019",4:18 PM EST,9.5,$200
21,"Wednesday, February 6, 2019",9:13 PM EST,9,$200
22,"Tuesday, February 5, 2019",3:31 PM EST,11,$297
23,"Sunday, February 3, 2019",10:42 PM EST,12.5,$225
24,"Saturday, February 2, 2019",10:23 PM EST,10.5,$330
25,"Tuesday, January 29, 2019",2:34 PM EST,13,$150
26,"Saturday, January 26, 2019",3:33 PM EST,9,$177
27,"Wednesday, January 23, 2019",7:49 PM EST,12,$298
28,"Wednesday, January 23, 2019",12:23 PM EST,12,$255
29,"Monday, January 21, 2019",3:32 PM EST,13,$250
30,"Friday, January 18, 2019",6:49 PM EST,14,$160
31,"Tuesday, January 15, 2019",11:22 AM EST,10.5,$240
32,"Sunday, January 13, 2019",6:19 PM EST,12,$190
33,"Sunday, January 13, 2019",2:43 PM EST,10.5,$239
34,"Wednesday, January 9, 2019",9:14 PM EST,9,$155
35,"Wednesday, January 9, 2019",9:11 PM EST,10,$180
36,"Saturday, January 5, 2019",3:55 PM EST,12.5,$200
37,"Tuesday, January 1, 2019",2:15 AM EST,9.5,$260
38,"Tuesday, December 25, 2018",5:15 PM EST,10,$207
39,"Sunday, December 23, 2018",12:43 PM EST,10.5,$279
40,"Friday, January 18, 2019",6:49 PM EST,14,$160
41,"Tuesday, January 15, 2019",11:22 AM EST,10.5,$240
42,"Sunday, January 13, 2019",6:19 PM EST,12,$190
43,"Sunday, January 13, 2019",2:43 PM EST,10.5,$239
44,"Wednesday, January 9, 2019",9:14 PM EST,9,$155
45,"Wednesday, January 9, 2019",9:11 PM EST,10,$180
46,"Saturday, January 5, 2019",3:55 PM EST,12.5,$200
47,"Tuesday, January 1, 2019",2:15 AM EST,9.5,$260
48,"Tuesday, December 25, 2018",5:15 PM EST,10,$207
49,"Sunday, December 23, 2018",12:43 PM EST,10.5,$279
