,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:36 PM EST,10,$280
1,"Thursday, March 7, 2019",1:22 PM EST,12.5,$259
2,"Thursday, March 7, 2019",12:54 PM EST,11.5,$230
3,"Thursday, March 7, 2019",12:41 PM EST,11,$252
4,"Thursday, March 7, 2019",12:39 PM EST,9.5,$303
5,"Thursday, March 7, 2019",10:54 AM EST,12,$260
6,"Thursday, March 7, 2019",10:44 AM EST,13,$238
7,"Thursday, March 7, 2019",10:32 AM EST,7,$379
8,"Thursday, March 7, 2019",8:36 AM EST,10.5,$258
9,"Thursday, March 7, 2019",8:10 AM EST,13,$253
10,"Thursday, March 7, 2019",1:33 AM EST,9,$294
11,"Wednesday, March 6, 2019",10:41 PM EST,11,$280
12,"Wednesday, March 6, 2019",10:18 PM EST,10.5,$274
13,"Wednesday, March 6, 2019",10:09 PM EST,10,$284
14,"Wednesday, March 6, 2019",8:41 PM EST,10.5,$260
15,"Wednesday, March 6, 2019",8:06 PM EST,11.5,$260
16,"Wednesday, March 6, 2019",7:53 PM EST,7.5,$330
17,"Wednesday, March 6, 2019",7:44 PM EST,12,$264
18,"Wednesday, March 6, 2019",7:43 PM EST,11.5,$270
19,"Wednesday, March 6, 2019",7:36 PM EST,8.5,$318
20,"Thursday, March 7, 2019",1:33 AM EST,9,$294
21,"Wednesday, March 6, 2019",10:41 PM EST,11,$280
22,"Wednesday, March 6, 2019",10:18 PM EST,10.5,$274
23,"Wednesday, March 6, 2019",10:09 PM EST,10,$284
24,"Wednesday, March 6, 2019",8:41 PM EST,10.5,$260
25,"Wednesday, March 6, 2019",8:06 PM EST,11.5,$260
26,"Wednesday, March 6, 2019",7:53 PM EST,7.5,$330
27,"Wednesday, March 6, 2019",7:44 PM EST,12,$264
28,"Wednesday, March 6, 2019",7:43 PM EST,11.5,$270
29,"Wednesday, March 6, 2019",7:36 PM EST,8.5,$318
30,"Wednesday, March 6, 2019",7:12 PM EST,11,$279
31,"Wednesday, March 6, 2019",6:52 PM EST,7,$379
32,"Wednesday, March 6, 2019",6:45 PM EST,9,$294
33,"Wednesday, March 6, 2019",5:59 PM EST,9.5,$295
34,"Wednesday, March 6, 2019",5:54 PM EST,10,$283
35,"Wednesday, March 6, 2019",5:18 PM EST,11,$253
36,"Wednesday, March 6, 2019",4:43 PM EST,8,$302
37,"Wednesday, March 6, 2019",4:21 PM EST,10.5,$273
38,"Wednesday, March 6, 2019",3:53 PM EST,9,$293
39,"Wednesday, March 6, 2019",3:42 PM EST,7,$365
40,"Wednesday, March 6, 2019",7:12 PM EST,11,$279
41,"Wednesday, March 6, 2019",6:52 PM EST,7,$379
42,"Wednesday, March 6, 2019",6:45 PM EST,9,$294
43,"Wednesday, March 6, 2019",5:59 PM EST,9.5,$295
44,"Wednesday, March 6, 2019",5:54 PM EST,10,$283
45,"Wednesday, March 6, 2019",5:18 PM EST,11,$253
46,"Wednesday, March 6, 2019",4:43 PM EST,8,$302
47,"Wednesday, March 6, 2019",4:21 PM EST,10.5,$273
48,"Wednesday, March 6, 2019",3:53 PM EST,9,$293
49,"Wednesday, March 6, 2019",3:42 PM EST,7,$365
50,"Wednesday, March 6, 2019",2:32 PM EST,10.5,$259
51,"Wednesday, March 6, 2019",1:51 PM EST,8.5,$324
52,"Wednesday, March 6, 2019",12:31 PM EST,10,$282
53,"Wednesday, March 6, 2019",12:14 PM EST,13,$225
54,"Wednesday, March 6, 2019",9:25 AM EST,9.5,$305
55,"Wednesday, March 6, 2019",8:48 AM EST,13,$254
56,"Wednesday, March 6, 2019",8:29 AM EST,11,$280
57,"Wednesday, March 6, 2019",7:25 AM EST,7,$380
58,"Wednesday, March 6, 2019",7:06 AM EST,7,$360
59,"Wednesday, March 6, 2019",6:08 AM EST,7.5,$334
