,Date,Time,Size,Price
0,"Monday, December 17, 2018",3:09 PM EST,10,$450
1,"Wednesday, December 12, 2018",1:35 AM EST,10,$401
2,"Friday, November 16, 2018",8:51 PM EST,10,$350
3,"Wednesday, September 12, 2018",6:26 AM EST,9,$397
4,"Thursday, August 9, 2018",1:45 PM EST,12,$350
5,"Tuesday, July 24, 2018",7:55 PM EST,9,$305
6,"Wednesday, July 18, 2018",1:24 PM EST,14,$380
7,"Sunday, July 15, 2018",10:49 PM EST,7,$260
8,"Sunday, July 15, 2018",1:02 PM EST,10,$400
9,"Thursday, July 12, 2018",12:09 AM EST,12,$300
10,"Wednesday, July 11, 2018",12:59 AM EST,14,$395
11,"Tuesday, July 10, 2018",11:00 PM EST,8.5,$450
