,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:07 PM EST,8.5,$452
1,"Thursday, March 7, 2019",12:13 PM EST,7,$458
2,"Thursday, March 7, 2019",12:08 PM EST,12,$365
3,"Thursday, March 7, 2019",10:25 AM EST,10,$425
4,"Thursday, March 7, 2019",9:56 AM EST,7,$425
5,"Thursday, March 7, 2019",9:51 AM EST,10.5,$400
6,"Thursday, March 7, 2019",9:10 AM EST,11.5,$365
7,"Thursday, March 7, 2019",8:53 AM EST,9.5,$430
8,"Thursday, March 7, 2019",8:47 AM EST,9,$410
9,"Thursday, March 7, 2019",7:02 AM EST,8,$440
10,"Thursday, March 7, 2019",12:31 AM EST,9,$400
11,"Wednesday, March 6, 2019",11:52 PM EST,8,$438
12,"Wednesday, March 6, 2019",10:53 PM EST,4.5,$490
13,"Wednesday, March 6, 2019",9:18 PM EST,9,$401
14,"Wednesday, March 6, 2019",7:31 PM EST,9.5,$440
15,"Wednesday, March 6, 2019",6:07 PM EST,11,$380
16,"Wednesday, March 6, 2019",5:20 PM EST,4.5,$494
17,"Wednesday, March 6, 2019",5:15 PM EST,7.5,$415
18,"Wednesday, March 6, 2019",3:46 PM EST,7,$441
19,"Wednesday, March 6, 2019",3:04 PM EST,11,$381
20,"Thursday, March 7, 2019",12:31 AM EST,9,$400
21,"Wednesday, March 6, 2019",11:52 PM EST,8,$438
22,"Wednesday, March 6, 2019",10:53 PM EST,4.5,$490
23,"Wednesday, March 6, 2019",9:18 PM EST,9,$401
24,"Wednesday, March 6, 2019",7:31 PM EST,9.5,$440
25,"Wednesday, March 6, 2019",6:07 PM EST,11,$380
26,"Wednesday, March 6, 2019",5:20 PM EST,4.5,$494
27,"Wednesday, March 6, 2019",5:15 PM EST,7.5,$415
28,"Wednesday, March 6, 2019",3:46 PM EST,7,$441
29,"Wednesday, March 6, 2019",3:04 PM EST,11,$381
30,"Wednesday, March 6, 2019",2:48 PM EST,8.5,$415
31,"Wednesday, March 6, 2019",2:35 PM EST,10.5,$385
32,"Wednesday, March 6, 2019",11:46 AM EST,9,$414
33,"Wednesday, March 6, 2019",10:50 AM EST,12,$389
34,"Wednesday, March 6, 2019",9:17 AM EST,10.5,$413
35,"Wednesday, March 6, 2019",5:50 AM EST,12,$386
36,"Wednesday, March 6, 2019",5:10 AM EST,10.5,$400
37,"Wednesday, March 6, 2019",5:09 AM EST,10.5,$400
38,"Wednesday, March 6, 2019",2:07 AM EST,9,$401
39,"Wednesday, March 6, 2019",2:02 AM EST,10.5,$396
40,"Wednesday, March 6, 2019",2:48 PM EST,8.5,$415
41,"Wednesday, March 6, 2019",2:35 PM EST,10.5,$385
42,"Wednesday, March 6, 2019",11:46 AM EST,9,$414
43,"Wednesday, March 6, 2019",10:50 AM EST,12,$389
44,"Wednesday, March 6, 2019",9:17 AM EST,10.5,$413
45,"Wednesday, March 6, 2019",5:50 AM EST,12,$386
46,"Wednesday, March 6, 2019",5:10 AM EST,10.5,$400
47,"Wednesday, March 6, 2019",5:09 AM EST,10.5,$400
48,"Wednesday, March 6, 2019",2:07 AM EST,9,$401
49,"Wednesday, March 6, 2019",2:02 AM EST,10.5,$396
50,"Tuesday, March 5, 2019",9:33 PM EST,9.5,$444
51,"Tuesday, March 5, 2019",9:03 PM EST,9.5,$440
52,"Tuesday, March 5, 2019",7:00 PM EST,10.5,$370
53,"Tuesday, March 5, 2019",6:59 PM EST,7,$454
54,"Tuesday, March 5, 2019",5:45 PM EST,9.5,$425
55,"Tuesday, March 5, 2019",5:28 PM EST,10,$419
56,"Tuesday, March 5, 2019",5:21 PM EST,4,$495
57,"Tuesday, March 5, 2019",5:18 PM EST,9.5,$424
58,"Tuesday, March 5, 2019",3:13 PM EST,10,$410
59,"Tuesday, March 5, 2019",2:34 PM EST,10.5,$370
