,Date,Time,Size,Price
0,"Wednesday, March 6, 2019",9:57 PM EST,10.5,$792
1,"Wednesday, March 6, 2019",11:55 AM EST,4,"$1,002"
2,"Tuesday, March 5, 2019",2:31 PM EST,8.5,$775
3,"Tuesday, March 5, 2019",9:04 AM EST,11,$794
4,"Sunday, March 3, 2019",12:41 AM EST,8.5,$850
5,"Saturday, March 2, 2019",12:56 PM EST,10,$895
6,"Tuesday, February 26, 2019",7:27 PM EST,9,$755
7,"Monday, February 25, 2019",4:39 PM EST,6,"$1,980"
8,"Monday, February 25, 2019",3:21 PM EST,10,$890
9,"Monday, February 25, 2019",2:12 PM EST,11,$971
10,"Sunday, February 24, 2019",12:10 PM EST,8.5,$810
11,"Saturday, February 23, 2019",9:48 AM EST,9,$770
12,"Saturday, February 23, 2019",8:30 AM EST,8.5,$800
13,"Friday, February 22, 2019",2:37 PM EST,8,$782
14,"Friday, February 22, 2019",1:10 PM EST,8.5,$758
15,"Friday, February 22, 2019",9:29 AM EST,6,"$1,700"
16,"Wednesday, February 20, 2019",4:06 PM EST,9.5,$800
17,"Tuesday, February 19, 2019",8:27 PM EST,11,$900
18,"Tuesday, February 19, 2019",6:37 PM EST,10,$831
19,"Tuesday, February 19, 2019",6:17 PM EST,9.5,$775
20,"Tuesday, February 19, 2019",10:00 AM EST,9.5,$787
21,"Monday, February 18, 2019",9:02 AM EST,10.5,$779
22,"Thursday, February 14, 2019",11:11 AM EST,8.5,$805
23,"Wednesday, February 13, 2019",2:24 PM EST,9.5,$815
24,"Tuesday, February 12, 2019",5:42 PM EST,11,$801
25,"Sunday, February 10, 2019",6:51 PM EST,5.5,$754
26,"Saturday, February 9, 2019",12:03 PM EST,7,$775
27,"Friday, February 8, 2019",11:53 PM EST,7,$903
28,"Friday, February 8, 2019",10:41 AM EST,12,"$1,000"
29,"Friday, February 8, 2019",10:39 AM EST,9.5,$820
30,"Tuesday, February 19, 2019",10:00 AM EST,9.5,$787
31,"Monday, February 18, 2019",9:02 AM EST,10.5,$779
32,"Thursday, February 14, 2019",11:11 AM EST,8.5,$805
33,"Wednesday, February 13, 2019",2:24 PM EST,9.5,$815
34,"Tuesday, February 12, 2019",5:42 PM EST,11,$801
35,"Sunday, February 10, 2019",6:51 PM EST,5.5,$754
36,"Saturday, February 9, 2019",12:03 PM EST,7,$775
37,"Friday, February 8, 2019",11:53 PM EST,7,$903
38,"Friday, February 8, 2019",10:41 AM EST,12,"$1,000"
39,"Friday, February 8, 2019",10:39 AM EST,9.5,$820
40,"Thursday, February 7, 2019",8:40 PM EST,10,$875
41,"Wednesday, February 6, 2019",1:38 PM EST,9.5,$800
42,"Wednesday, February 6, 2019",12:12 PM EST,11.5,$771
43,"Tuesday, February 5, 2019",4:43 PM EST,9,$940
44,"Saturday, February 2, 2019",1:02 PM EST,10.5,$850
45,"Saturday, February 2, 2019",8:51 AM EST,13,"$1,100"
46,"Friday, February 1, 2019",3:40 PM EST,10,$890
47,"Wednesday, January 30, 2019",12:44 PM EST,9,$895
48,"Wednesday, January 30, 2019",7:32 AM EST,9,$890
49,"Monday, January 28, 2019",1:30 AM EST,7,$799
50,"Thursday, February 7, 2019",8:40 PM EST,10,$875
51,"Wednesday, February 6, 2019",1:38 PM EST,9.5,$800
52,"Wednesday, February 6, 2019",12:12 PM EST,11.5,$771
53,"Tuesday, February 5, 2019",4:43 PM EST,9,$940
54,"Saturday, February 2, 2019",1:02 PM EST,10.5,$850
55,"Saturday, February 2, 2019",8:51 AM EST,13,"$1,100"
56,"Friday, February 1, 2019",3:40 PM EST,10,$890
57,"Wednesday, January 30, 2019",12:44 PM EST,9,$895
58,"Wednesday, January 30, 2019",7:32 AM EST,9,$890
59,"Monday, January 28, 2019",1:30 AM EST,7,$799
