,Date,Time,Size,Price
0,"Thursday, March 7, 2019",4:47 AM EST,11,$900
1,"Thursday, March 7, 2019",12:44 AM EST,10,$866
2,"Wednesday, March 6, 2019",10:02 PM EST,10.5,$890
3,"Wednesday, March 6, 2019",10:01 PM EST,8.5,$900
4,"Wednesday, March 6, 2019",10:06 AM EST,11,"$1,000"
5,"Tuesday, March 5, 2019",1:30 PM EST,4,$980
6,"Tuesday, March 5, 2019",9:16 AM EST,6,"$1,100"
7,"Monday, March 4, 2019",5:35 PM EST,9.5,"$1,030"
8,"Monday, March 4, 2019",12:25 AM EST,9.5,$993
9,"Saturday, March 2, 2019",6:01 PM EST,10,$900
10,"Saturday, March 2, 2019",2:02 PM EST,9.5,$966
11,"Saturday, March 2, 2019",12:32 PM EST,9.5,$950
12,"Saturday, March 2, 2019",12:23 AM EST,7.5,"$1,145"
13,"Friday, March 1, 2019",9:47 PM EST,9.5,$890
14,"Friday, March 1, 2019",8:02 PM EST,11,$760
15,"Friday, March 1, 2019",12:13 PM EST,12,"$1,048"
16,"Wednesday, February 27, 2019",3:21 PM EST,10.5,$960
17,"Wednesday, February 27, 2019",2:09 AM EST,13,"$1,200"
18,"Tuesday, February 26, 2019",2:32 AM EST,6,"$1,050"
19,"Monday, February 25, 2019",11:51 AM EST,9.5,$920
20,"Saturday, February 23, 2019",3:45 PM EST,9,"$1,000"
21,"Saturday, February 23, 2019",8:06 AM EST,12,$999
22,"Friday, February 22, 2019",10:21 PM EST,12,$990
23,"Thursday, February 21, 2019",9:39 PM EST,10,$900
24,"Thursday, February 21, 2019",11:01 AM EST,9,$914
25,"Thursday, February 21, 2019",12:19 AM EST,7.5,"$1,000"
26,"Tuesday, February 19, 2019",12:56 PM EST,8,$910
27,"Tuesday, February 19, 2019",12:55 AM EST,13,"$1,137"
28,"Monday, February 18, 2019",4:19 PM EST,10.5,$876
29,"Monday, February 18, 2019",12:35 AM EST,9.5,$895
30,"Saturday, February 16, 2019",12:36 PM EST,11,$929
31,"Friday, February 15, 2019",3:47 PM EST,8.5,$940
32,"Friday, February 15, 2019",9:56 AM EST,12,"$1,111"
33,"Monday, February 11, 2019",1:20 PM EST,6,"$1,049"
34,"Saturday, February 9, 2019",2:18 PM EST,7,"$1,123"
35,"Friday, February 8, 2019",9:47 PM EST,11.5,$920
36,"Friday, February 8, 2019",6:59 PM EST,13,$980
37,"Friday, February 8, 2019",10:30 AM EST,8,$820
38,"Thursday, February 7, 2019",7:03 AM EST,12,"$1,050"
39,"Thursday, February 7, 2019",5:34 AM EST,13,$901
40,"Wednesday, February 6, 2019",11:19 PM EST,11,$799
41,"Wednesday, February 6, 2019",6:53 PM EST,11,$865
42,"Tuesday, February 5, 2019",6:33 PM EST,9.5,$900
43,"Tuesday, February 5, 2019",9:15 AM EST,10.5,$895
44,"Monday, February 4, 2019",6:21 AM EST,10.5,$893
45,"Sunday, February 3, 2019",6:23 PM EST,10,$905
46,"Sunday, February 3, 2019",4:35 PM EST,10,$900
47,"Saturday, February 2, 2019",9:43 PM EST,10.5,$892
48,"Saturday, February 2, 2019",5:22 AM EST,9.5,$899
49,"Saturday, February 2, 2019",1:01 AM EST,10.5,$850
50,"Friday, February 1, 2019",3:04 PM EST,9.5,$899
51,"Thursday, January 31, 2019",11:32 AM EST,11.5,$805
52,"Monday, January 28, 2019",4:21 PM EST,11,$815
53,"Saturday, January 26, 2019",8:56 PM EST,10.5,$831
54,"Saturday, January 26, 2019",5:06 PM EST,10,$900
55,"Saturday, January 26, 2019",10:39 AM EST,13,"$1,028"
56,"Thursday, January 24, 2019",7:18 PM EST,8.5,$904
57,"Thursday, January 24, 2019",8:36 AM EST,4,$870
58,"Tuesday, January 22, 2019",2:28 PM EST,11,$875
59,"Tuesday, January 22, 2019",10:52 AM EST,10,$839
