,Date,Time,Size,Price
0,"Monday, March 4, 2019",12:03 PM EST,6K,$284
1,"Saturday, March 2, 2019",8:43 PM EST,10K,$253
2,"Saturday, March 2, 2019",3:38 PM EST,9K,$240
3,"Saturday, March 2, 2019",11:27 AM EST,8K,$293
4,"Saturday, March 2, 2019",10:18 AM EST,7K,$285
5,"Saturday, March 2, 2019",4:20 AM EST,6K,$250
6,"Thursday, February 28, 2019",7:33 PM EST,10K,$248
7,"Thursday, February 28, 2019",2:55 PM EST,7K,$250
8,"Tuesday, February 26, 2019",1:09 PM EST,8K,$297
9,"Saturday, February 23, 2019",4:54 PM EST,10K,$227
10,"Thursday, February 21, 2019",3:14 PM EST,8K,$218
11,"Thursday, February 21, 2019",8:25 AM EST,10K,$234
12,"Monday, February 18, 2019",12:13 PM EST,5K,$300
13,"Sunday, February 17, 2019",10:44 AM EST,5K,$301
14,"Thursday, February 14, 2019",5:45 AM EST,9K,$239
15,"Wednesday, February 13, 2019",2:24 PM EST,9K,$230
16,"Wednesday, February 13, 2019",2:17 PM EST,8K,$220
17,"Monday, February 11, 2019",10:40 PM EST,5K,$335
18,"Monday, February 11, 2019",2:12 AM EST,7K,$340
19,"Tuesday, February 5, 2019",2:23 PM EST,6K,$240
20,"Tuesday, January 29, 2019",8:55 PM EST,10K,$220
21,"Monday, January 28, 2019",11:36 AM EST,8K,$282
22,"Monday, January 28, 2019",4:26 AM EST,8K,$255
23,"Tuesday, January 22, 2019",12:06 PM EST,8K,$280
24,"Saturday, January 19, 2019",5:51 PM EST,8K,$270
25,"Saturday, January 19, 2019",11:23 AM EST,6K,$250
26,"Saturday, January 19, 2019",11:19 AM EST,9K,$260
27,"Friday, January 18, 2019",2:37 PM EST,10K,$300
28,"Monday, January 14, 2019",8:57 AM EST,7K,$275
29,"Saturday, January 12, 2019",3:55 AM EST,5K,$285
30,"Thursday, January 10, 2019",6:40 PM EST,6K,$264
31,"Wednesday, January 9, 2019",4:23 PM EST,5K,$350
32,"Tuesday, January 8, 2019",2:03 PM EST,9K,$265
33,"Tuesday, January 8, 2019",10:55 AM EST,7K,$319
34,"Monday, December 24, 2018",5:59 PM EST,8K,$287
35,"Friday, December 21, 2018",3:50 PM EST,8K,$255
36,"Thursday, December 20, 2018",7:07 PM EST,8K,$261
37,"Wednesday, December 19, 2018",10:32 AM EST,9K,$294
38,"Monday, December 17, 2018",12:13 PM EST,8K,$280
39,"Monday, December 17, 2018",3:00 AM EST,8K,$275
40,"Sunday, December 16, 2018",11:56 PM EST,6K,$280
41,"Thursday, December 13, 2018",1:22 PM EST,7K,$275
42,"Wednesday, December 12, 2018",6:12 PM EST,9K,$280
43,"Wednesday, December 12, 2018",2:38 AM EST,8K,$263
44,"Monday, December 10, 2018",1:23 AM EST,10K,$290
45,"Sunday, December 9, 2018",5:00 PM EST,9K,$293
46,"Sunday, December 9, 2018",1:10 AM EST,7K,$274
47,"Saturday, December 8, 2018",1:53 PM EST,9K,$290
48,"Saturday, December 8, 2018",1:53 PM EST,9K,$291
49,"Saturday, December 8, 2018",12:58 PM EST,8K,$275
50,"Sunday, December 16, 2018",11:56 PM EST,6K,$280
51,"Thursday, December 13, 2018",1:22 PM EST,7K,$275
52,"Wednesday, December 12, 2018",6:12 PM EST,9K,$280
53,"Wednesday, December 12, 2018",2:38 AM EST,8K,$263
54,"Monday, December 10, 2018",1:23 AM EST,10K,$290
55,"Sunday, December 9, 2018",5:00 PM EST,9K,$293
56,"Sunday, December 9, 2018",1:10 AM EST,7K,$274
57,"Saturday, December 8, 2018",1:53 PM EST,9K,$290
58,"Saturday, December 8, 2018",1:53 PM EST,9K,$291
59,"Saturday, December 8, 2018",12:58 PM EST,8K,$275
