,Date,Time,Size,Price
0,"Thursday, March 7, 2019",12:06 PM EST,9,"$1,400"
1,"Wednesday, March 6, 2019",9:54 PM EST,9,"$1,300"
2,"Wednesday, March 6, 2019",9:54 PM EST,9,"$1,328"
3,"Wednesday, March 6, 2019",9:53 PM EST,8,"$1,250"
4,"Saturday, March 2, 2019",4:43 PM EST,12,"$1,105"
5,"Saturday, March 2, 2019",3:53 PM EST,10,"$1,350"
6,"Saturday, March 2, 2019",12:34 PM EST,7,"$1,680"
7,"Saturday, March 2, 2019",6:12 AM EST,9,"$1,350"
8,"Friday, March 1, 2019",8:39 AM EST,13,"$1,281"
9,"Wednesday, February 27, 2019",8:04 PM EST,9,"$1,299"
10,"Tuesday, February 26, 2019",3:34 PM EST,13,"$1,000"
11,"Tuesday, February 26, 2019",10:03 AM EST,9,"$1,150"
12,"Monday, February 25, 2019",3:54 PM EST,13,"$1,286"
13,"Monday, February 25, 2019",2:45 PM EST,12,"$1,087"
14,"Saturday, February 23, 2019",1:32 PM EST,11,"$1,250"
15,"Saturday, February 23, 2019",12:12 PM EST,10,"$1,305"
16,"Monday, February 18, 2019",1:45 PM EST,13,"$1,298"
17,"Thursday, February 14, 2019",8:40 AM EST,8,"$1,172"
18,"Wednesday, February 13, 2019",9:14 AM EST,9,"$1,450"
19,"Tuesday, February 12, 2019",10:11 AM EST,10,"$1,165"
20,"Tuesday, February 26, 2019",3:34 PM EST,13,"$1,000"
21,"Tuesday, February 26, 2019",10:03 AM EST,9,"$1,150"
22,"Monday, February 25, 2019",3:54 PM EST,13,"$1,286"
23,"Monday, February 25, 2019",2:45 PM EST,12,"$1,087"
24,"Saturday, February 23, 2019",1:32 PM EST,11,"$1,250"
25,"Saturday, February 23, 2019",12:12 PM EST,10,"$1,305"
26,"Monday, February 18, 2019",1:45 PM EST,13,"$1,298"
27,"Thursday, February 14, 2019",8:40 AM EST,8,"$1,172"
28,"Wednesday, February 13, 2019",9:14 AM EST,9,"$1,450"
29,"Tuesday, February 12, 2019",10:11 AM EST,10,"$1,165"
30,"Saturday, February 9, 2019",11:54 AM EST,11,"$1,348"
31,"Saturday, February 9, 2019",2:47 AM EST,7,"$1,246"
32,"Friday, February 8, 2019",1:12 AM EST,10,"$1,168"
33,"Thursday, February 7, 2019",6:54 PM EST,13,"$1,300"
34,"Thursday, February 7, 2019",9:15 AM EST,8,"$1,226"
35,"Thursday, February 7, 2019",2:07 AM EST,8,"$1,256"
36,"Thursday, February 7, 2019",12:58 AM EST,12,"$1,230"
37,"Wednesday, February 6, 2019",9:10 PM EST,11,"$1,050"
38,"Saturday, February 2, 2019",10:38 AM EST,12,"$1,146"
39,"Tuesday, January 29, 2019",3:32 PM EST,12,"$1,008"
40,"Saturday, February 9, 2019",11:54 AM EST,11,"$1,348"
41,"Saturday, February 9, 2019",2:47 AM EST,7,"$1,246"
42,"Friday, February 8, 2019",1:12 AM EST,10,"$1,168"
43,"Thursday, February 7, 2019",6:54 PM EST,13,"$1,300"
44,"Thursday, February 7, 2019",9:15 AM EST,8,"$1,226"
45,"Thursday, February 7, 2019",2:07 AM EST,8,"$1,256"
46,"Thursday, February 7, 2019",12:58 AM EST,12,"$1,230"
47,"Wednesday, February 6, 2019",9:10 PM EST,11,"$1,050"
48,"Saturday, February 2, 2019",10:38 AM EST,12,"$1,146"
49,"Tuesday, January 29, 2019",3:32 PM EST,12,"$1,008"
