,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:39 PM EST,9.5,$360
1,"Thursday, March 7, 2019",11:45 AM EST,6,$501
2,"Thursday, March 7, 2019",11:43 AM EST,9,$385
3,"Thursday, March 7, 2019",10:39 AM EST,8.5,$395
4,"Thursday, March 7, 2019",9:36 AM EST,11,$385
5,"Thursday, March 7, 2019",7:07 AM EST,12,$400
6,"Thursday, March 7, 2019",3:27 AM EST,13,$405
7,"Thursday, March 7, 2019",1:52 AM EST,9.5,$396
8,"Thursday, March 7, 2019",12:08 AM EST,10,$370
9,"Wednesday, March 6, 2019",9:07 PM EST,14,$325
10,"Wednesday, March 6, 2019",8:59 PM EST,10,$390
11,"Wednesday, March 6, 2019",8:54 PM EST,9.5,$395
12,"Wednesday, March 6, 2019",8:43 PM EST,8,$394
13,"Wednesday, March 6, 2019",8:20 PM EST,6,$497
14,"Wednesday, March 6, 2019",8:00 PM EST,9,$384
15,"Wednesday, March 6, 2019",7:16 PM EST,10.5,$396
16,"Wednesday, March 6, 2019",6:37 PM EST,9.5,$395
17,"Wednesday, March 6, 2019",4:40 PM EST,9.5,$389
18,"Wednesday, March 6, 2019",4:33 PM EST,4,$436
19,"Wednesday, March 6, 2019",4:30 PM EST,4,$360
20,"Wednesday, March 6, 2019",8:59 PM EST,10,$390
21,"Wednesday, March 6, 2019",8:54 PM EST,9.5,$395
22,"Wednesday, March 6, 2019",8:43 PM EST,8,$394
23,"Wednesday, March 6, 2019",8:20 PM EST,6,$497
24,"Wednesday, March 6, 2019",8:00 PM EST,9,$384
25,"Wednesday, March 6, 2019",7:16 PM EST,10.5,$396
26,"Wednesday, March 6, 2019",6:37 PM EST,9.5,$395
27,"Wednesday, March 6, 2019",4:40 PM EST,9.5,$389
28,"Wednesday, March 6, 2019",4:33 PM EST,4,$436
29,"Wednesday, March 6, 2019",4:30 PM EST,4,$360
30,"Wednesday, March 6, 2019",4:24 PM EST,8,$393
31,"Wednesday, March 6, 2019",1:56 PM EST,5.5,$515
32,"Wednesday, March 6, 2019",1:50 PM EST,8.5,$370
33,"Wednesday, March 6, 2019",10:10 AM EST,4,$400
34,"Wednesday, March 6, 2019",9:54 AM EST,8,$373
35,"Wednesday, March 6, 2019",9:48 AM EST,6,$495
36,"Wednesday, March 6, 2019",9:18 AM EST,7,$453
37,"Wednesday, March 6, 2019",7:54 AM EST,9,$384
38,"Wednesday, March 6, 2019",7:43 AM EST,10.5,$397
39,"Wednesday, March 6, 2019",12:38 AM EST,6,$495
40,"Wednesday, March 6, 2019",12:00 AM EST,6,$475
41,"Tuesday, March 5, 2019",11:55 PM EST,12,$399
42,"Tuesday, March 5, 2019",11:29 PM EST,5,$464
43,"Tuesday, March 5, 2019",10:55 PM EST,11,$390
44,"Tuesday, March 5, 2019",9:24 PM EST,11.5,$429
45,"Tuesday, March 5, 2019",8:49 PM EST,12,$389
46,"Tuesday, March 5, 2019",8:26 PM EST,12,$390
47,"Tuesday, March 5, 2019",8:17 PM EST,5,$390
48,"Tuesday, March 5, 2019",8:17 PM EST,9,$363
49,"Tuesday, March 5, 2019",7:46 PM EST,11,$390
50,"Wednesday, March 6, 2019",12:00 AM EST,6,$475
51,"Tuesday, March 5, 2019",11:55 PM EST,12,$399
52,"Tuesday, March 5, 2019",11:29 PM EST,5,$464
53,"Tuesday, March 5, 2019",10:55 PM EST,11,$390
54,"Tuesday, March 5, 2019",9:24 PM EST,11.5,$429
55,"Tuesday, March 5, 2019",8:49 PM EST,12,$389
56,"Tuesday, March 5, 2019",8:26 PM EST,12,$390
57,"Tuesday, March 5, 2019",8:17 PM EST,5,$390
58,"Tuesday, March 5, 2019",8:17 PM EST,9,$363
59,"Tuesday, March 5, 2019",7:46 PM EST,11,$390
