,Date,Time,Size,Price
0,"Thursday, March 7, 2019",12:01 PM EST,5,$269
1,"Thursday, March 7, 2019",11:40 AM EST,9.5,$248
2,"Thursday, March 7, 2019",11:28 AM EST,11,$262
3,"Thursday, March 7, 2019",11:14 AM EST,5,$270
4,"Thursday, March 7, 2019",11:09 AM EST,9,$240
5,"Thursday, March 7, 2019",11:06 AM EST,9.5,$250
6,"Thursday, March 7, 2019",10:49 AM EST,8.5,$250
7,"Thursday, March 7, 2019",10:49 AM EST,9.5,$251
8,"Thursday, March 7, 2019",10:10 AM EST,14,$280
9,"Thursday, March 7, 2019",9:54 AM EST,9,$244
10,"Thursday, March 7, 2019",8:51 AM EST,10,$254
11,"Thursday, March 7, 2019",6:59 AM EST,9.5,$259
12,"Thursday, March 7, 2019",5:24 AM EST,10.5,$255
13,"Thursday, March 7, 2019",3:28 AM EST,8.5,$258
14,"Thursday, March 7, 2019",2:11 AM EST,9,$240
15,"Thursday, March 7, 2019",12:31 AM EST,7,$270
16,"Wednesday, March 6, 2019",11:58 PM EST,10,$240
17,"Wednesday, March 6, 2019",11:40 PM EST,9,$233
18,"Wednesday, March 6, 2019",11:39 PM EST,9,$234
19,"Wednesday, March 6, 2019",11:34 PM EST,9.5,$258
20,"Wednesday, March 6, 2019",11:08 PM EST,5,$270
21,"Wednesday, March 6, 2019",10:48 PM EST,12,$256
22,"Wednesday, March 6, 2019",10:30 PM EST,6.5,$329
23,"Wednesday, March 6, 2019",10:14 PM EST,9,$235
24,"Wednesday, March 6, 2019",10:09 PM EST,12,$250
25,"Wednesday, March 6, 2019",10:00 PM EST,9,$236
26,"Wednesday, March 6, 2019",9:06 PM EST,6,$275
27,"Wednesday, March 6, 2019",8:50 PM EST,8.5,$258
28,"Wednesday, March 6, 2019",8:33 PM EST,9,$243
29,"Wednesday, March 6, 2019",8:15 PM EST,10,$254
30,"Wednesday, March 6, 2019",6:10 PM EST,6,$299
31,"Wednesday, March 6, 2019",6:10 PM EST,11.5,$269
32,"Wednesday, March 6, 2019",6:08 PM EST,10.5,$260
33,"Wednesday, March 6, 2019",5:52 PM EST,6.5,$320
34,"Wednesday, March 6, 2019",5:38 PM EST,5,$269
35,"Wednesday, March 6, 2019",4:39 PM EST,8.5,$258
36,"Wednesday, March 6, 2019",4:06 PM EST,10,$253
37,"Wednesday, March 6, 2019",3:37 PM EST,9.5,$260
38,"Wednesday, March 6, 2019",3:26 PM EST,10.5,$260
39,"Wednesday, March 6, 2019",2:50 PM EST,8,$239
40,"Wednesday, March 6, 2019",1:02 PM EST,10,$251
41,"Wednesday, March 6, 2019",12:59 PM EST,9,$234
42,"Wednesday, March 6, 2019",12:38 PM EST,10,$251
43,"Wednesday, March 6, 2019",11:48 AM EST,9.5,$258
44,"Wednesday, March 6, 2019",11:30 AM EST,9,$242
45,"Wednesday, March 6, 2019",10:37 AM EST,6,$290
46,"Wednesday, March 6, 2019",9:35 AM EST,8.5,$256
47,"Wednesday, March 6, 2019",9:24 AM EST,7,$257
48,"Wednesday, March 6, 2019",8:57 AM EST,14,$260
49,"Wednesday, March 6, 2019",8:51 AM EST,9,$239
