,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:30 PM EST,10,$500
1,"Wednesday, March 6, 2019",8:37 PM EST,11,$475
2,"Wednesday, March 6, 2019",7:29 PM EST,12,$545
3,"Wednesday, March 6, 2019",3:36 PM EST,8.5,$420
4,"Wednesday, March 6, 2019",12:22 PM EST,10.5,$500
5,"Wednesday, March 6, 2019",10:29 AM EST,14,$310
6,"Tuesday, March 5, 2019",10:08 PM EST,9.5,$566
7,"Tuesday, March 5, 2019",1:43 AM EST,10,$505
8,"Sunday, March 3, 2019",1:20 PM EST,8.5,$682
9,"Sunday, March 3, 2019",8:37 AM EST,10,$466
10,"Sunday, March 3, 2019",8:01 AM EST,10,$520
11,"Sunday, March 3, 2019",6:53 AM EST,11,$545
12,"Saturday, March 2, 2019",6:42 PM EST,6.5,$352
13,"Friday, March 1, 2019",5:21 PM EST,9,$435
