,Date,Time,Size,Price
0,"Thursday, March 7, 2019",2:04 AM EST,8,$530
1,"Thursday, March 7, 2019",12:26 AM EST,10.5,$565
2,"Wednesday, March 6, 2019",7:10 PM EST,9,$551
3,"Wednesday, March 6, 2019",12:05 AM EST,10,$580
4,"Tuesday, March 5, 2019",1:10 PM EST,11,$568
5,"Monday, March 4, 2019",11:24 PM EST,8.5,$650
6,"Monday, March 4, 2019",7:27 PM EST,13,$621
7,"Monday, March 4, 2019",5:56 PM EST,12,$625
8,"Sunday, March 3, 2019",11:31 PM EST,4,$524
9,"Sunday, March 3, 2019",3:46 PM EST,7.5,$522
10,"Saturday, March 2, 2019",1:48 AM EST,13,$585
11,"Thursday, February 28, 2019",10:16 AM EST,6.5,$700
12,"Wednesday, February 27, 2019",12:40 PM EST,9,$592
13,"Wednesday, February 27, 2019",11:30 AM EST,10,$600
14,"Tuesday, February 26, 2019",7:46 AM EST,12,$600
15,"Monday, February 25, 2019",7:22 AM EST,9,$590
16,"Monday, February 25, 2019",1:46 AM EST,10.5,$539
17,"Sunday, February 24, 2019",3:52 PM EST,10.5,$522
18,"Saturday, February 23, 2019",10:47 PM EST,9.5,$549
19,"Saturday, February 23, 2019",3:18 PM EST,10,$580
20,"Saturday, February 23, 2019",12:01 AM EST,10,$600
21,"Friday, February 22, 2019",10:15 AM EST,9.5,$600
22,"Thursday, February 21, 2019",8:13 PM EST,10,$600
23,"Wednesday, February 20, 2019",2:31 PM EST,9,$566
24,"Wednesday, February 20, 2019",2:01 PM EST,8,$694
25,"Tuesday, February 19, 2019",6:16 PM EST,11,$555
26,"Tuesday, February 19, 2019",3:52 PM EST,10,$579
27,"Tuesday, February 19, 2019",11:11 AM EST,10,$570
28,"Tuesday, February 19, 2019",10:46 AM EST,11,$574
29,"Tuesday, February 19, 2019",7:40 AM EST,9,$550
30,"Tuesday, February 19, 2019",4:03 AM EST,8.5,$684
31,"Saturday, February 16, 2019",10:59 PM EST,9,$548
32,"Saturday, February 16, 2019",4:31 PM EST,10.5,$504
33,"Saturday, February 16, 2019",4:56 AM EST,5,$815
34,"Friday, February 15, 2019",7:31 PM EST,9.5,$600
35,"Friday, February 15, 2019",10:47 AM EST,10.5,$569
36,"Thursday, February 14, 2019",12:43 PM EST,8,$677
37,"Thursday, February 14, 2019",11:11 AM EST,9.5,$600
38,"Tuesday, February 12, 2019",9:18 PM EST,10.5,$510
39,"Monday, February 11, 2019",10:20 PM EST,11,$575
40,"Monday, February 11, 2019",9:33 PM EST,8,$618
41,"Monday, February 11, 2019",5:53 AM EST,10.5,$568
42,"Sunday, February 10, 2019",6:29 PM EST,10.5,$512
43,"Sunday, February 10, 2019",11:05 AM EST,8,$620
44,"Sunday, February 10, 2019",10:37 AM EST,9.5,$583
45,"Saturday, February 9, 2019",12:29 PM EST,8,$600
46,"Friday, February 8, 2019",4:08 PM EST,11,$575
47,"Thursday, February 7, 2019",11:55 AM EST,8.5,$565
48,"Thursday, February 7, 2019",11:16 AM EST,11,$566
49,"Thursday, February 7, 2019",11:13 AM EST,11,$566
