,Date,Time,Size,Price
0,"Thursday, March 7, 2019",12:10 PM EST,8,$682
1,"Thursday, March 7, 2019",11:32 AM EST,9,$657
2,"Thursday, March 7, 2019",9:12 AM EST,9.5,$736
3,"Thursday, March 7, 2019",2:29 AM EST,8.5,$639
4,"Wednesday, March 6, 2019",9:50 PM EST,8.5,$670
5,"Wednesday, March 6, 2019",8:18 PM EST,10,$625
6,"Wednesday, March 6, 2019",7:00 PM EST,9,$660
7,"Wednesday, March 6, 2019",3:57 PM EST,10,$650
8,"Wednesday, March 6, 2019",12:25 PM EST,11,$662
9,"Wednesday, March 6, 2019",10:50 AM EST,11.5,$700
10,"Tuesday, March 5, 2019",4:24 PM EST,6,$750
11,"Monday, March 4, 2019",11:32 PM EST,13,$725
12,"Monday, March 4, 2019",7:48 PM EST,8.5,$718
13,"Monday, March 4, 2019",12:20 PM EST,8.5,$717
14,"Sunday, March 3, 2019",11:23 PM EST,10.5,$690
15,"Sunday, March 3, 2019",8:18 PM EST,11.5,$697
16,"Sunday, March 3, 2019",8:11 PM EST,12,$677
17,"Sunday, March 3, 2019",6:14 PM EST,10,$740
18,"Sunday, March 3, 2019",3:07 PM EST,8.5,$660
19,"Sunday, March 3, 2019",1:19 PM EST,10.5,$689
20,"Tuesday, March 5, 2019",4:24 PM EST,6,$750
21,"Monday, March 4, 2019",11:32 PM EST,13,$725
22,"Monday, March 4, 2019",7:48 PM EST,8.5,$718
23,"Monday, March 4, 2019",12:20 PM EST,8.5,$717
24,"Sunday, March 3, 2019",11:23 PM EST,10.5,$690
25,"Sunday, March 3, 2019",8:18 PM EST,11.5,$697
26,"Sunday, March 3, 2019",8:11 PM EST,12,$677
27,"Sunday, March 3, 2019",6:14 PM EST,10,$740
28,"Sunday, March 3, 2019",3:07 PM EST,8.5,$660
29,"Sunday, March 3, 2019",1:19 PM EST,10.5,$689
30,"Sunday, March 3, 2019",11:35 AM EST,11,$661
31,"Saturday, March 2, 2019",11:34 PM EST,8.5,$637
32,"Saturday, March 2, 2019",8:40 PM EST,9,$683
33,"Saturday, March 2, 2019",6:04 PM EST,11,$680
34,"Saturday, March 2, 2019",5:25 PM EST,9.5,$668
35,"Saturday, March 2, 2019",5:12 PM EST,9.5,$666
36,"Friday, March 1, 2019",9:26 PM EST,9,$659
37,"Friday, March 1, 2019",8:03 PM EST,11,$733
38,"Friday, March 1, 2019",6:17 PM EST,9.5,$675
39,"Friday, March 1, 2019",5:22 PM EST,9.5,$740
40,"Sunday, March 3, 2019",11:35 AM EST,11,$661
41,"Saturday, March 2, 2019",11:34 PM EST,8.5,$637
42,"Saturday, March 2, 2019",8:40 PM EST,9,$683
43,"Saturday, March 2, 2019",6:04 PM EST,11,$680
44,"Saturday, March 2, 2019",5:25 PM EST,9.5,$668
45,"Saturday, March 2, 2019",5:12 PM EST,9.5,$666
46,"Friday, March 1, 2019",9:26 PM EST,9,$659
47,"Friday, March 1, 2019",8:03 PM EST,11,$733
48,"Friday, March 1, 2019",6:17 PM EST,9.5,$675
49,"Friday, March 1, 2019",5:22 PM EST,9.5,$740
