,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:31 PM EST,9.5,$260
1,"Thursday, March 7, 2019",1:12 PM EST,9.5,$261
2,"Thursday, March 7, 2019",1:07 PM EST,10.5,$263
3,"Thursday, March 7, 2019",12:41 PM EST,10,$250
4,"Thursday, March 7, 2019",12:31 PM EST,8.5,$250
5,"Thursday, March 7, 2019",12:29 PM EST,5,$374
6,"Thursday, March 7, 2019",12:04 PM EST,8.5,$250
7,"Thursday, March 7, 2019",12:02 PM EST,11.5,$264
8,"Thursday, March 7, 2019",11:46 AM EST,5.5,$395
9,"Thursday, March 7, 2019",11:43 AM EST,9.5,$238
10,"Thursday, March 7, 2019",11:41 AM EST,10.5,$258
11,"Thursday, March 7, 2019",11:24 AM EST,11.5,$265
12,"Thursday, March 7, 2019",11:16 AM EST,7,$335
13,"Thursday, March 7, 2019",11:07 AM EST,9.5,$240
14,"Thursday, March 7, 2019",10:51 AM EST,9.5,$240
15,"Thursday, March 7, 2019",10:48 AM EST,9.5,$260
16,"Thursday, March 7, 2019",10:41 AM EST,10.5,$255
17,"Thursday, March 7, 2019",10:38 AM EST,8,$249
18,"Thursday, March 7, 2019",10:36 AM EST,7.5,$269
19,"Thursday, March 7, 2019",9:50 AM EST,6.5,$371
20,"Thursday, March 7, 2019",11:41 AM EST,10.5,$258
21,"Thursday, March 7, 2019",11:24 AM EST,11.5,$265
22,"Thursday, March 7, 2019",11:16 AM EST,7,$335
23,"Thursday, March 7, 2019",11:07 AM EST,9.5,$240
24,"Thursday, March 7, 2019",10:51 AM EST,9.5,$240
25,"Thursday, March 7, 2019",10:48 AM EST,9.5,$260
26,"Thursday, March 7, 2019",10:41 AM EST,10.5,$255
27,"Thursday, March 7, 2019",10:38 AM EST,8,$249
28,"Thursday, March 7, 2019",10:36 AM EST,7.5,$269
29,"Thursday, March 7, 2019",9:50 AM EST,6.5,$371
30,"Thursday, March 7, 2019",9:34 AM EST,12,$270
31,"Thursday, March 7, 2019",8:53 AM EST,11,$266
32,"Thursday, March 7, 2019",8:34 AM EST,6.5,$370
33,"Thursday, March 7, 2019",8:27 AM EST,8,$241
34,"Thursday, March 7, 2019",8:05 AM EST,11.5,$264
35,"Thursday, March 7, 2019",7:40 AM EST,9.5,$242
36,"Thursday, March 7, 2019",7:40 AM EST,7,$330
37,"Thursday, March 7, 2019",6:45 AM EST,11,$264
38,"Thursday, March 7, 2019",6:00 AM EST,12,$279
39,"Thursday, March 7, 2019",5:33 AM EST,11,$265
40,"Thursday, March 7, 2019",9:34 AM EST,12,$270
41,"Thursday, March 7, 2019",8:53 AM EST,11,$266
42,"Thursday, March 7, 2019",8:34 AM EST,6.5,$370
43,"Thursday, March 7, 2019",8:27 AM EST,8,$241
44,"Thursday, March 7, 2019",8:05 AM EST,11.5,$264
45,"Thursday, March 7, 2019",7:40 AM EST,9.5,$242
46,"Thursday, March 7, 2019",7:40 AM EST,7,$330
47,"Thursday, March 7, 2019",6:45 AM EST,11,$264
48,"Thursday, March 7, 2019",6:00 AM EST,12,$279
49,"Thursday, March 7, 2019",5:33 AM EST,11,$265
50,"Thursday, March 7, 2019",3:57 AM EST,12,$270
51,"Thursday, March 7, 2019",3:28 AM EST,11.5,$264
52,"Thursday, March 7, 2019",3:20 AM EST,6,$360
53,"Thursday, March 7, 2019",3:19 AM EST,9.5,$260
54,"Thursday, March 7, 2019",2:27 AM EST,10.5,$250
55,"Thursday, March 7, 2019",1:56 AM EST,12,$279
56,"Thursday, March 7, 2019",1:28 AM EST,9.5,$259
57,"Thursday, March 7, 2019",1:27 AM EST,10,$255
58,"Thursday, March 7, 2019",1:25 AM EST,5,$374
59,"Thursday, March 7, 2019",1:16 AM EST,11,$260
