,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:32 PM EST,5.5,$419
1,"Thursday, March 7, 2019",1:16 PM EST,9.5,$265
2,"Thursday, March 7, 2019",1:11 PM EST,8,$285
3,"Thursday, March 7, 2019",1:08 PM EST,7.5,$348
4,"Thursday, March 7, 2019",1:01 PM EST,8.5,$229
5,"Thursday, March 7, 2019",1:01 PM EST,8.5,$230
6,"Thursday, March 7, 2019",12:58 PM EST,4.5,$379
7,"Thursday, March 7, 2019",12:40 PM EST,4,$343
8,"Thursday, March 7, 2019",11:55 AM EST,8,$284
9,"Thursday, March 7, 2019",11:49 AM EST,5,$380
10,"Thursday, March 7, 2019",11:05 AM EST,9.5,$262
11,"Thursday, March 7, 2019",10:58 AM EST,10.5,$280
12,"Thursday, March 7, 2019",10:14 AM EST,12.5,$365
13,"Thursday, March 7, 2019",10:03 AM EST,11,$285
14,"Thursday, March 7, 2019",9:53 AM EST,5.5,$390
15,"Thursday, March 7, 2019",8:43 AM EST,9,$261
16,"Thursday, March 7, 2019",8:34 AM EST,7.5,$345
17,"Thursday, March 7, 2019",8:21 AM EST,12,$294
18,"Thursday, March 7, 2019",8:01 AM EST,9,$261
19,"Thursday, March 7, 2019",7:18 AM EST,10,$272
20,"Thursday, March 7, 2019",6:52 AM EST,9.5,$260
21,"Thursday, March 7, 2019",5:53 AM EST,8,$275
22,"Thursday, March 7, 2019",4:24 AM EST,10.5,$279
23,"Thursday, March 7, 2019",3:57 AM EST,10,$271
24,"Thursday, March 7, 2019",1:29 AM EST,13,$344
25,"Thursday, March 7, 2019",1:17 AM EST,9,$261
26,"Thursday, March 7, 2019",12:45 AM EST,8.5,$250
27,"Wednesday, March 6, 2019",11:59 PM EST,7,$350
28,"Wednesday, March 6, 2019",11:28 PM EST,8,$285
29,"Wednesday, March 6, 2019",11:26 PM EST,10.5,$277
30,"Wednesday, March 6, 2019",11:14 PM EST,9.5,$255
31,"Wednesday, March 6, 2019",10:57 PM EST,7.5,$344
32,"Wednesday, March 6, 2019",10:43 PM EST,10.5,$255
33,"Wednesday, March 6, 2019",10:36 PM EST,9,$261
34,"Wednesday, March 6, 2019",10:10 PM EST,9,$261
35,"Wednesday, March 6, 2019",9:23 PM EST,13,$338
36,"Wednesday, March 6, 2019",9:21 PM EST,7,$387
37,"Wednesday, March 6, 2019",9:17 PM EST,8,$285
38,"Wednesday, March 6, 2019",9:13 PM EST,10.5,$270
39,"Wednesday, March 6, 2019",9:00 PM EST,8.5,$269
40,"Wednesday, March 6, 2019",8:36 PM EST,10.5,$265
41,"Wednesday, March 6, 2019",8:11 PM EST,10.5,$251
42,"Wednesday, March 6, 2019",7:57 PM EST,8,$284
43,"Wednesday, March 6, 2019",7:48 PM EST,11,$290
44,"Wednesday, March 6, 2019",7:47 PM EST,6.5,$380
45,"Wednesday, March 6, 2019",7:37 PM EST,10,$275
46,"Wednesday, March 6, 2019",6:41 PM EST,7,$370
47,"Wednesday, March 6, 2019",6:39 PM EST,11.5,$303
48,"Wednesday, March 6, 2019",6:09 PM EST,12,$315
49,"Wednesday, March 6, 2019",5:56 PM EST,11,$290
50,"Wednesday, March 6, 2019",5:53 PM EST,10,$261
51,"Wednesday, March 6, 2019",5:52 PM EST,11,$288
52,"Wednesday, March 6, 2019",5:47 PM EST,13,$337
53,"Wednesday, March 6, 2019",5:37 PM EST,13,$335
54,"Wednesday, March 6, 2019",5:12 PM EST,7.5,$343
55,"Wednesday, March 6, 2019",5:04 PM EST,10,$261
56,"Wednesday, March 6, 2019",5:00 PM EST,12,$310
57,"Wednesday, March 6, 2019",4:43 PM EST,11.5,$280
58,"Wednesday, March 6, 2019",4:19 PM EST,10,$260
59,"Wednesday, March 6, 2019",4:16 PM EST,11,$265
