,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:14 PM EST,5,$397
1,"Thursday, March 7, 2019",12:47 PM EST,7.5,$393
2,"Thursday, March 7, 2019",12:31 PM EST,11.5,$336
3,"Thursday, March 7, 2019",12:31 PM EST,8.5,$373
4,"Thursday, March 7, 2019",12:28 PM EST,9.5,$350
5,"Thursday, March 7, 2019",12:21 PM EST,10,$343
6,"Thursday, March 7, 2019",12:19 PM EST,13,$285
7,"Thursday, March 7, 2019",11:59 AM EST,13,$280
8,"Thursday, March 7, 2019",11:42 AM EST,9.5,$340
9,"Thursday, March 7, 2019",11:23 AM EST,12,$295
10,"Thursday, March 7, 2019",11:12 AM EST,4.5,$412
11,"Thursday, March 7, 2019",11:09 AM EST,4,$360
12,"Thursday, March 7, 2019",11:08 AM EST,9.5,$343
13,"Thursday, March 7, 2019",11:07 AM EST,10,$337
14,"Thursday, March 7, 2019",11:06 AM EST,8,$384
15,"Thursday, March 7, 2019",11:06 AM EST,9,$338
16,"Thursday, March 7, 2019",11:05 AM EST,9,$338
17,"Thursday, March 7, 2019",11:00 AM EST,5.5,$420
18,"Thursday, March 7, 2019",10:48 AM EST,12,$284
19,"Thursday, March 7, 2019",10:37 AM EST,10.5,$338
20,"Thursday, March 7, 2019",10:34 AM EST,9.5,$344
21,"Thursday, March 7, 2019",9:50 AM EST,9.5,$353
22,"Thursday, March 7, 2019",9:39 AM EST,6,$412
23,"Thursday, March 7, 2019",9:27 AM EST,11,$340
24,"Thursday, March 7, 2019",9:18 AM EST,9.5,$352
25,"Thursday, March 7, 2019",9:01 AM EST,11,$335
26,"Thursday, March 7, 2019",8:49 AM EST,7,$400
27,"Thursday, March 7, 2019",6:51 AM EST,13,$290
28,"Thursday, March 7, 2019",6:15 AM EST,10.5,$336
29,"Thursday, March 7, 2019",6:15 AM EST,10,$336
30,"Thursday, March 7, 2019",5:33 AM EST,9.5,$350
31,"Thursday, March 7, 2019",5:27 AM EST,9,$347
32,"Thursday, March 7, 2019",4:36 AM EST,10,$344
33,"Thursday, March 7, 2019",4:24 AM EST,7.5,$391
34,"Thursday, March 7, 2019",3:51 AM EST,6.5,$435
35,"Thursday, March 7, 2019",3:47 AM EST,12.5,$300
36,"Thursday, March 7, 2019",3:13 AM EST,5.5,$405
37,"Thursday, March 7, 2019",3:03 AM EST,6.5,$435
38,"Thursday, March 7, 2019",2:32 AM EST,7.5,$375
39,"Thursday, March 7, 2019",2:20 AM EST,14,$334
40,"Thursday, March 7, 2019",1:58 AM EST,10,$333
41,"Thursday, March 7, 2019",1:15 AM EST,6.5,$434
42,"Thursday, March 7, 2019",1:13 AM EST,4,$355
43,"Thursday, March 7, 2019",12:35 AM EST,11,$335
44,"Thursday, March 7, 2019",12:21 AM EST,7,$383
45,"Thursday, March 7, 2019",12:10 AM EST,13,$275
46,"Wednesday, March 6, 2019",11:51 PM EST,9.5,$340
47,"Wednesday, March 6, 2019",11:38 PM EST,8,$394
48,"Wednesday, March 6, 2019",11:27 PM EST,10.5,$332
49,"Wednesday, March 6, 2019",11:06 PM EST,10,$338
50,"Wednesday, March 6, 2019",11:05 PM EST,11,$330
51,"Wednesday, March 6, 2019",11:01 PM EST,9,$347
52,"Wednesday, March 6, 2019",10:57 PM EST,10,$343
53,"Wednesday, March 6, 2019",10:23 PM EST,9,$346
54,"Wednesday, March 6, 2019",9:51 PM EST,13,$290
55,"Wednesday, March 6, 2019",9:47 PM EST,10,$334
56,"Wednesday, March 6, 2019",9:26 PM EST,12,$294
57,"Wednesday, March 6, 2019",9:08 PM EST,10.5,$328
58,"Wednesday, March 6, 2019",8:49 PM EST,9,$346
59,"Wednesday, March 6, 2019",8:32 PM EST,6,$415
