,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:27 PM EST,8.5,$581
1,"Thursday, March 7, 2019",1:14 PM EST,6,$677
2,"Thursday, March 7, 2019",12:50 PM EST,9.5,$590
3,"Thursday, March 7, 2019",12:50 PM EST,8.5,$580
4,"Thursday, March 7, 2019",12:48 PM EST,9,$570
5,"Thursday, March 7, 2019",12:47 PM EST,6,$676
6,"Thursday, March 7, 2019",12:23 PM EST,12,$465
7,"Thursday, March 7, 2019",9:54 AM EST,4.5,$622
8,"Thursday, March 7, 2019",9:17 AM EST,9,$570
9,"Thursday, March 7, 2019",9:17 AM EST,9,$569
10,"Thursday, March 7, 2019",9:17 AM EST,9,$569
11,"Thursday, March 7, 2019",9:16 AM EST,9,$569
12,"Thursday, March 7, 2019",9:16 AM EST,9,$569
13,"Thursday, March 7, 2019",9:15 AM EST,9,$569
14,"Thursday, March 7, 2019",9:15 AM EST,9,$568
15,"Thursday, March 7, 2019",9:14 AM EST,10,$554
16,"Thursday, March 7, 2019",9:14 AM EST,9,$567
17,"Thursday, March 7, 2019",9:13 AM EST,9,$566
18,"Thursday, March 7, 2019",9:11 AM EST,9,$566
19,"Thursday, March 7, 2019",8:23 AM EST,5.5,$629
20,"Thursday, March 7, 2019",9:17 AM EST,9,$569
21,"Thursday, March 7, 2019",9:16 AM EST,9,$569
22,"Thursday, March 7, 2019",9:16 AM EST,9,$569
23,"Thursday, March 7, 2019",9:15 AM EST,9,$569
24,"Thursday, March 7, 2019",9:15 AM EST,9,$568
25,"Thursday, March 7, 2019",9:14 AM EST,10,$554
26,"Thursday, March 7, 2019",9:14 AM EST,9,$567
27,"Thursday, March 7, 2019",9:13 AM EST,9,$566
28,"Thursday, March 7, 2019",9:11 AM EST,9,$566
29,"Thursday, March 7, 2019",8:23 AM EST,5.5,$629
30,"Thursday, March 7, 2019",7:52 AM EST,5.5,$622
31,"Thursday, March 7, 2019",6:48 AM EST,9,$565
32,"Thursday, March 7, 2019",6:47 AM EST,12.5,$457
33,"Thursday, March 7, 2019",6:46 AM EST,12,$480
34,"Thursday, March 7, 2019",6:45 AM EST,10,$559
35,"Thursday, March 7, 2019",6:34 AM EST,9,$562
36,"Thursday, March 7, 2019",6:34 AM EST,8.5,$580
37,"Thursday, March 7, 2019",6:34 AM EST,4,$600
38,"Thursday, March 7, 2019",6:33 AM EST,5,$624
39,"Thursday, March 7, 2019",6:33 AM EST,5.5,$626
40,"Thursday, March 7, 2019",7:52 AM EST,5.5,$622
41,"Thursday, March 7, 2019",6:48 AM EST,9,$565
42,"Thursday, March 7, 2019",6:47 AM EST,12.5,$457
43,"Thursday, March 7, 2019",6:46 AM EST,12,$480
44,"Thursday, March 7, 2019",6:45 AM EST,10,$559
45,"Thursday, March 7, 2019",6:34 AM EST,9,$562
46,"Thursday, March 7, 2019",6:34 AM EST,8.5,$580
47,"Thursday, March 7, 2019",6:34 AM EST,4,$600
48,"Thursday, March 7, 2019",6:33 AM EST,5,$624
49,"Thursday, March 7, 2019",6:33 AM EST,5.5,$626
