,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:35 PM EST,13,$395
1,"Thursday, March 7, 2019",1:23 PM EST,10,$351
2,"Thursday, March 7, 2019",1:09 PM EST,8,$360
3,"Thursday, March 7, 2019",1:00 PM EST,8,$359
4,"Thursday, March 7, 2019",12:47 PM EST,11.5,$375
5,"Thursday, March 7, 2019",12:10 PM EST,11,$384
6,"Thursday, March 7, 2019",12:06 PM EST,8,$346
7,"Thursday, March 7, 2019",11:44 AM EST,9.5,$351
8,"Thursday, March 7, 2019",11:06 AM EST,9.5,$359
9,"Thursday, March 7, 2019",10:43 AM EST,10.5,$370
10,"Thursday, March 7, 2019",10:11 AM EST,6.5,$495
11,"Thursday, March 7, 2019",10:02 AM EST,11,$380
12,"Thursday, March 7, 2019",9:52 AM EST,8,$346
13,"Thursday, March 7, 2019",9:35 AM EST,12,$369
14,"Thursday, March 7, 2019",8:08 AM EST,12,$370
15,"Thursday, March 7, 2019",7:35 AM EST,9.5,$380
16,"Thursday, March 7, 2019",7:32 AM EST,5.5,$470
17,"Thursday, March 7, 2019",7:07 AM EST,10.5,$370
18,"Thursday, March 7, 2019",6:37 AM EST,6,$480
19,"Thursday, March 7, 2019",6:36 AM EST,6,$480
20,"Thursday, March 7, 2019",10:11 AM EST,6.5,$495
21,"Thursday, March 7, 2019",10:02 AM EST,11,$380
22,"Thursday, March 7, 2019",9:52 AM EST,8,$346
23,"Thursday, March 7, 2019",9:35 AM EST,12,$369
24,"Thursday, March 7, 2019",8:08 AM EST,12,$370
25,"Thursday, March 7, 2019",7:35 AM EST,9.5,$380
26,"Thursday, March 7, 2019",7:32 AM EST,5.5,$470
27,"Thursday, March 7, 2019",7:07 AM EST,10.5,$370
28,"Thursday, March 7, 2019",6:37 AM EST,6,$480
29,"Thursday, March 7, 2019",6:36 AM EST,6,$480
30,"Thursday, March 7, 2019",6:28 AM EST,6,$480
31,"Thursday, March 7, 2019",5:04 AM EST,9.5,$371
32,"Thursday, March 7, 2019",3:32 AM EST,13,$391
33,"Thursday, March 7, 2019",2:50 AM EST,8.5,$380
34,"Thursday, March 7, 2019",2:25 AM EST,12,$362
35,"Thursday, March 7, 2019",1:12 AM EST,14,$388
36,"Thursday, March 7, 2019",12:05 AM EST,10.5,$370
37,"Wednesday, March 6, 2019",11:03 PM EST,7,$409
38,"Wednesday, March 6, 2019",10:51 PM EST,11,$380
39,"Wednesday, March 6, 2019",10:48 PM EST,12,$360
40,"Thursday, March 7, 2019",6:28 AM EST,6,$480
41,"Thursday, March 7, 2019",5:04 AM EST,9.5,$371
42,"Thursday, March 7, 2019",3:32 AM EST,13,$391
43,"Thursday, March 7, 2019",2:50 AM EST,8.5,$380
44,"Thursday, March 7, 2019",2:25 AM EST,12,$362
45,"Thursday, March 7, 2019",1:12 AM EST,14,$388
46,"Thursday, March 7, 2019",12:05 AM EST,10.5,$370
47,"Wednesday, March 6, 2019",11:03 PM EST,7,$409
48,"Wednesday, March 6, 2019",10:51 PM EST,11,$380
49,"Wednesday, March 6, 2019",10:48 PM EST,12,$360
