,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:36 PM EST,8,$374
1,"Thursday, March 7, 2019",1:33 PM EST,10,$370
2,"Thursday, March 7, 2019",1:32 PM EST,5.5,$399
3,"Thursday, March 7, 2019",1:27 PM EST,9,$360
4,"Thursday, March 7, 2019",1:26 PM EST,7.5,$370
5,"Thursday, March 7, 2019",1:25 PM EST,9.5,$365
6,"Thursday, March 7, 2019",1:25 PM EST,9.5,$365
7,"Thursday, March 7, 2019",1:25 PM EST,8.5,$360
8,"Thursday, March 7, 2019",1:24 PM EST,8,$370
9,"Thursday, March 7, 2019",1:24 PM EST,8,$371
10,"Thursday, March 7, 2019",1:10 PM EST,10,$370
11,"Thursday, March 7, 2019",12:56 PM EST,5.5,$400
12,"Thursday, March 7, 2019",12:46 PM EST,8,$375
13,"Thursday, March 7, 2019",12:38 PM EST,9,$378
14,"Thursday, March 7, 2019",12:35 PM EST,12,$397
15,"Thursday, March 7, 2019",12:17 PM EST,9,$378
16,"Thursday, March 7, 2019",12:05 PM EST,11.5,$415
17,"Thursday, March 7, 2019",11:53 AM EST,10,$350
18,"Thursday, March 7, 2019",11:53 AM EST,10,$350
19,"Thursday, March 7, 2019",11:52 AM EST,10,$350
20,"Thursday, March 7, 2019",1:10 PM EST,10,$370
21,"Thursday, March 7, 2019",12:56 PM EST,5.5,$400
22,"Thursday, March 7, 2019",12:46 PM EST,8,$375
23,"Thursday, March 7, 2019",12:38 PM EST,9,$378
24,"Thursday, March 7, 2019",12:35 PM EST,12,$397
25,"Thursday, March 7, 2019",12:17 PM EST,9,$378
26,"Thursday, March 7, 2019",12:05 PM EST,11.5,$415
27,"Thursday, March 7, 2019",11:53 AM EST,10,$350
28,"Thursday, March 7, 2019",11:53 AM EST,10,$350
29,"Thursday, March 7, 2019",11:52 AM EST,10,$350
30,"Thursday, March 7, 2019",11:52 AM EST,10,$350
31,"Thursday, March 7, 2019",11:49 AM EST,10.5,$369
32,"Thursday, March 7, 2019",11:48 AM EST,11.5,$350
33,"Thursday, March 7, 2019",11:42 AM EST,11.5,$360
34,"Thursday, March 7, 2019",11:41 AM EST,11,$360
35,"Thursday, March 7, 2019",11:40 AM EST,9.5,$355
36,"Thursday, March 7, 2019",11:37 AM EST,6,$400
37,"Thursday, March 7, 2019",11:37 AM EST,8,$365
38,"Thursday, March 7, 2019",11:30 AM EST,11,$375
39,"Thursday, March 7, 2019",11:28 AM EST,5,$416
40,"Thursday, March 7, 2019",11:52 AM EST,10,$350
41,"Thursday, March 7, 2019",11:49 AM EST,10.5,$369
42,"Thursday, March 7, 2019",11:48 AM EST,11.5,$350
43,"Thursday, March 7, 2019",11:42 AM EST,11.5,$360
44,"Thursday, March 7, 2019",11:41 AM EST,11,$360
45,"Thursday, March 7, 2019",11:40 AM EST,9.5,$355
46,"Thursday, March 7, 2019",11:37 AM EST,6,$400
47,"Thursday, March 7, 2019",11:37 AM EST,8,$365
48,"Thursday, March 7, 2019",11:30 AM EST,11,$375
49,"Thursday, March 7, 2019",11:28 AM EST,5,$416
