,Date,Time,Size,Price
0,"Thursday, March 7, 2019",1:34 PM EST,5.5,$386
1,"Thursday, March 7, 2019",1:15 PM EST,12,$305
2,"Thursday, March 7, 2019",1:09 PM EST,11,$320
3,"Thursday, March 7, 2019",1:01 PM EST,6.5,$369
4,"Thursday, March 7, 2019",12:56 PM EST,5.5,$382
5,"Thursday, March 7, 2019",11:48 AM EST,6.5,$366
6,"Thursday, March 7, 2019",11:36 AM EST,13,$320
7,"Thursday, March 7, 2019",11:23 AM EST,12,$301
8,"Thursday, March 7, 2019",11:21 AM EST,12.5,$307
9,"Thursday, March 7, 2019",11:18 AM EST,8.5,$349
10,"Thursday, March 7, 2019",10:40 AM EST,13,$310
11,"Thursday, March 7, 2019",10:30 AM EST,6.5,$369
12,"Thursday, March 7, 2019",10:28 AM EST,9.5,$340
13,"Thursday, March 7, 2019",10:19 AM EST,8,$360
14,"Thursday, March 7, 2019",9:45 AM EST,10,$310
15,"Thursday, March 7, 2019",9:01 AM EST,13,$319
16,"Thursday, March 7, 2019",8:40 AM EST,7,$358
17,"Thursday, March 7, 2019",8:38 AM EST,10,$328
18,"Thursday, March 7, 2019",7:32 AM EST,10,$327
19,"Thursday, March 7, 2019",6:41 AM EST,11,$322
20,"Thursday, March 7, 2019",10:40 AM EST,13,$310
21,"Thursday, March 7, 2019",10:30 AM EST,6.5,$369
22,"Thursday, March 7, 2019",10:28 AM EST,9.5,$340
23,"Thursday, March 7, 2019",10:19 AM EST,8,$360
24,"Thursday, March 7, 2019",9:45 AM EST,10,$310
25,"Thursday, March 7, 2019",9:01 AM EST,13,$319
26,"Thursday, March 7, 2019",8:40 AM EST,7,$358
27,"Thursday, March 7, 2019",8:38 AM EST,10,$328
28,"Thursday, March 7, 2019",7:32 AM EST,10,$327
29,"Thursday, March 7, 2019",6:41 AM EST,11,$322
30,"Thursday, March 7, 2019",6:11 AM EST,12,$305
31,"Thursday, March 7, 2019",4:14 AM EST,9.5,$336
32,"Thursday, March 7, 2019",2:02 AM EST,10,$315
33,"Thursday, March 7, 2019",1:39 AM EST,10.5,$319
34,"Thursday, March 7, 2019",1:16 AM EST,10.5,$319
35,"Thursday, March 7, 2019",1:14 AM EST,9.5,$344
36,"Thursday, March 7, 2019",12:56 AM EST,8,$359
37,"Wednesday, March 6, 2019",11:57 PM EST,11,$320
38,"Wednesday, March 6, 2019",10:56 PM EST,5.5,$383
39,"Wednesday, March 6, 2019",10:52 PM EST,8.5,$353
40,"Thursday, March 7, 2019",6:11 AM EST,12,$305
41,"Thursday, March 7, 2019",4:14 AM EST,9.5,$336
42,"Thursday, March 7, 2019",2:02 AM EST,10,$315
43,"Thursday, March 7, 2019",1:39 AM EST,10.5,$319
44,"Thursday, March 7, 2019",1:16 AM EST,10.5,$319
45,"Thursday, March 7, 2019",1:14 AM EST,9.5,$344
46,"Thursday, March 7, 2019",12:56 AM EST,8,$359
47,"Wednesday, March 6, 2019",11:57 PM EST,11,$320
48,"Wednesday, March 6, 2019",10:56 PM EST,5.5,$383
49,"Wednesday, March 6, 2019",10:52 PM EST,8.5,$353
50,"Wednesday, March 6, 2019",10:13 PM EST,7,$358
51,"Wednesday, March 6, 2019",10:12 PM EST,5,$393
52,"Wednesday, March 6, 2019",10:03 PM EST,11,$311
53,"Wednesday, March 6, 2019",9:54 PM EST,6,$375
54,"Wednesday, March 6, 2019",9:51 PM EST,10,$320
55,"Wednesday, March 6, 2019",9:51 PM EST,8,$357
56,"Wednesday, March 6, 2019",9:25 PM EST,9,$337
57,"Wednesday, March 6, 2019",9:20 PM EST,11,$320
58,"Wednesday, March 6, 2019",8:58 PM EST,4,$380
59,"Wednesday, March 6, 2019",8:56 PM EST,10,$325
