,Date,Time,Size,Price
0,"Wednesday, March 6, 2019",10:00 PM EST,9,$850
1,"Wednesday, March 6, 2019",1:41 PM EST,8,$761
2,"Wednesday, March 6, 2019",12:54 PM EST,8,$761
3,"Tuesday, March 5, 2019",11:46 AM EST,11,$991
4,"Tuesday, March 5, 2019",10:06 AM EST,9,$856
5,"Monday, March 4, 2019",6:21 PM EST,8,$765
6,"Monday, March 4, 2019",2:09 AM EST,11,$990
7,"Sunday, March 3, 2019",1:31 PM EST,11,$993
8,"Sunday, March 3, 2019",12:14 AM EST,13,"$1,193"
9,"Saturday, March 2, 2019",9:34 AM EST,8,$825
10,"Friday, March 1, 2019",8:18 AM EST,10,$902
11,"Thursday, February 28, 2019",12:13 PM EST,11,$998
12,"Wednesday, February 27, 2019",6:48 PM EST,12,"$1,035"
13,"Wednesday, February 27, 2019",6:13 PM EST,11,$994
14,"Wednesday, February 27, 2019",5:34 PM EST,8,$825
15,"Tuesday, February 26, 2019",8:43 PM EST,9,"$1,110"
16,"Tuesday, February 26, 2019",4:02 AM EST,11,$992
17,"Monday, February 25, 2019",12:10 AM EST,12,"$1,035"
18,"Sunday, February 24, 2019",6:31 AM EST,8,$825
19,"Saturday, February 23, 2019",8:56 PM EST,11,$990
20,"Saturday, February 23, 2019",12:45 PM EST,8,$800
21,"Friday, February 22, 2019",6:28 PM EST,8,$785
22,"Thursday, February 21, 2019",7:45 AM EST,7,$800
23,"Wednesday, February 20, 2019",10:51 AM EST,9,$880
24,"Wednesday, February 20, 2019",5:13 AM EST,8,$800
25,"Tuesday, February 19, 2019",4:20 PM EST,8,$800
26,"Tuesday, February 19, 2019",11:31 AM EST,7,$892
27,"Monday, February 18, 2019",8:29 AM EST,11,$765
28,"Friday, February 15, 2019",1:31 AM EST,8,$795
29,"Tuesday, February 12, 2019",10:17 AM EST,9,$850
30,"Monday, February 11, 2019",10:38 PM EST,10,"$1,018"
31,"Monday, February 11, 2019",5:12 PM EST,10,$990
32,"Monday, February 11, 2019",2:07 PM EST,9,$995
33,"Sunday, February 10, 2019",11:53 PM EST,10,$973
34,"Saturday, February 9, 2019",5:36 PM EST,11,$950
35,"Saturday, February 9, 2019",1:38 PM EST,9,$805
36,"Thursday, February 7, 2019",11:50 AM EST,8,$720
37,"Thursday, February 7, 2019",10:52 AM EST,9,$850
38,"Thursday, February 7, 2019",9:27 AM EST,9,$888
39,"Thursday, February 7, 2019",12:41 AM EST,11,$795
40,"Wednesday, February 6, 2019",5:03 PM EST,8,$760
41,"Wednesday, February 6, 2019",3:33 PM EST,9,$889
42,"Wednesday, February 6, 2019",1:48 PM EST,9,$957
43,"Wednesday, February 6, 2019",12:10 PM EST,8,$785
44,"Tuesday, February 5, 2019",8:17 PM EST,11,$875
45,"Tuesday, February 5, 2019",1:34 PM EST,10,"$1,134"
46,"Tuesday, February 5, 2019",9:35 AM EST,10,$925
47,"Tuesday, February 5, 2019",4:47 AM EST,11,$771
48,"Saturday, February 2, 2019",12:45 AM EST,8,$800
49,"Friday, February 1, 2019",8:09 PM EST,9,$931
50,"Thursday, January 31, 2019",7:54 AM EST,13,$900
51,"Wednesday, January 30, 2019",8:29 PM EST,11,$886
52,"Wednesday, January 30, 2019",1:42 PM EST,10,$935
53,"Sunday, January 27, 2019",8:49 AM EST,12,"$1,001"
54,"Thursday, January 24, 2019",6:38 PM EST,9,$921
55,"Tuesday, January 22, 2019",9:22 PM EST,8,$790
56,"Tuesday, January 22, 2019",2:52 PM EST,10,$895
57,"Tuesday, January 22, 2019",12:57 PM EST,12,$909
58,"Monday, January 21, 2019",6:40 PM EST,10,$890
59,"Monday, January 21, 2019",4:19 PM EST,9,$925
