,Date,Time,Size,Price
0,"Friday, January 18, 2019",6:31 AM EST,9.5,$650
1,"Sunday, December 2, 2018",7:48 PM EST,7.5,$567
2,"Wednesday, November 28, 2018",5:07 AM EST,9.5,$801
3,"Tuesday, November 27, 2018",3:06 PM EST,9.5,$461
4,"Monday, November 26, 2018",12:14 AM EST,7.5,$350
5,"Tuesday, September 18, 2018",3:40 PM EST,11.5,$500
6,"Thursday, August 30, 2018",7:21 PM EST,11.5,$700
7,"Thursday, August 30, 2018",2:55 AM EST,10,$350
8,"Sunday, August 12, 2018",12:14 AM EST,9.5,$585
9,"Friday, May 11, 2018",10:40 AM EST,8.5,$618
10,"Friday, March 30, 2018",2:05 AM EST,10,$700
11,"Wednesday, March 14, 2018",12:16 PM EST,10,"$1,100"
12,"Thursday, December 7, 2017",8:14 PM EST,10.5,$650
13,"Friday, November 17, 2017",4:00 PM EST,9.5,$875
14,"Saturday, November 11, 2017",10:08 PM EST,11.5,$700
15,"Thursday, October 26, 2017",3:04 PM EST,7.5,$950
16,"Thursday, September 28, 2017",10:51 AM EST,9.5,$700
17,"Tuesday, September 12, 2017",10:15 PM EST,11.5,$625
18,"Monday, August 28, 2017",8:53 PM EST,7.5,$950
19,"Saturday, August 26, 2017",7:26 PM EST,11.5,$650
20,"Thursday, August 10, 2017",5:39 AM EST,8.5,$500
21,"Monday, July 24, 2017",2:34 PM EST,11,$600
22,"Tuesday, May 23, 2017",9:32 AM EST,6.5,$803
23,"Friday, April 14, 2017",10:06 AM EST,10,$950
24,"Friday, February 24, 2017",1:04 PM EST,8,$624
25,"Wednesday, January 18, 2017",4:29 PM EST,7,$721
26,"Monday, December 26, 2016",9:53 PM EST,9,$680
27,"Friday, December 2, 2016",2:04 PM EST,9.5,$600
28,"Wednesday, October 26, 2016",10:18 PM EST,8.5,"$1,032"
29,"Monday, October 3, 2016",1:10 PM EST,8.5,$400
30,"Saturday, September 10, 2016",4:50 AM EST,9,$752
31,"Friday, September 9, 2016",11:25 AM EST,7,$675
32,"Thursday, August 18, 2016",8:27 AM EST,10,$777
33,"Tuesday, August 16, 2016",9:50 AM EST,9,$619
34,"Tuesday, August 9, 2016",4:21 PM EST,9,$619
35,"Thursday, July 21, 2016",3:03 PM EST,8,$619
36,"Wednesday, July 20, 2016",1:55 PM EST,10,$619
37,"Wednesday, July 13, 2016",7:21 AM EST,9,$619
38,"Sunday, July 3, 2016",7:41 PM EST,12,$777
39,"Thursday, June 30, 2016",10:05 AM EST,10,$619
40,"Saturday, June 25, 2016",1:44 AM EST,8.5,$619
41,"Sunday, June 19, 2016",12:19 PM EST,8.5,$619
42,"Wednesday, June 15, 2016",10:39 PM EST,10,$619
43,"Monday, June 13, 2016",12:09 PM EST,9,$619
44,"Wednesday, May 11, 2016",9:54 PM EST,11,$645
45,"Tuesday, May 10, 2016",11:31 AM EST,10,$607
46,"Tuesday, May 3, 2016",2:05 PM EST,8.5,$607
47,"Sunday, April 17, 2016",12:34 PM EST,9,$612
48,"Sunday, April 17, 2016",12:34 PM EST,10,$612
49,"Thursday, April 14, 2016",12:34 PM EST,10,$607
50,"Monday, March 7, 2016",11:15 AM EST,11,$712
51,"Thursday, March 3, 2016",3:15 PM EST,8,"$1,112"
52,"Monday, February 22, 2016",7:47 PM EST,9.5,$700
53,"Sunday, February 21, 2016",7:49 AM EST,9,$700
54,"Saturday, February 13, 2016",11:17 AM EST,7,$662
55,"Saturday, February 6, 2016",7:16 AM EST,9.5,$862
56,"Sunday, January 31, 2016",3:28 PM EST,7.5,$650
57,"Thursday, January 28, 2016",11:16 AM EST,9,$612
58,"Tuesday, January 26, 2016",7:14 PM EST,8.5,$700
59,"Thursday, January 21, 2016",3:46 PM EST,11.5,$600
