,Date,Time,Size,Price
0,"Wednesday, February 6, 2019",3:32 PM EST,9,$600
1,"Thursday, January 3, 2019",11:55 PM EST,11.5,$821
2,"Friday, December 7, 2018",2:49 AM EST,11,$800
3,"Wednesday, November 28, 2018",11:49 AM EST,9.5,$487
4,"Monday, November 26, 2018",10:25 AM EST,11,$650
5,"Thursday, November 22, 2018",5:52 PM EST,8.5,$792
6,"Thursday, November 8, 2018",3:42 PM EST,11.5,$600
7,"Saturday, September 29, 2018",9:40 PM EST,10,$470
8,"Tuesday, September 4, 2018",4:11 PM EST,9.5,$649
9,"Friday, July 13, 2018",2:07 PM EST,8,$650
10,"Friday, July 6, 2018",1:21 PM EST,12,$495
11,"Wednesday, June 13, 2018",5:14 PM EST,10,$450
12,"Monday, June 4, 2018",4:24 PM EST,9.5,$476
13,"Friday, April 13, 2018",9:16 AM EST,10.5,$650
14,"Monday, March 5, 2018",7:23 AM EST,8.5,$560
15,"Thursday, January 11, 2018",1:40 PM EST,12,$800
16,"Saturday, January 6, 2018",3:13 PM EST,9,$600
17,"Thursday, December 14, 2017",1:06 PM EST,7.5,$726
18,"Thursday, November 9, 2017",6:10 PM EST,10.5,$601
19,"Wednesday, September 20, 2017",9:40 AM EST,10.5,$850
20,"Friday, July 6, 2018",1:21 PM EST,12,$495
21,"Wednesday, June 13, 2018",5:14 PM EST,10,$450
22,"Monday, June 4, 2018",4:24 PM EST,9.5,$476
23,"Friday, April 13, 2018",9:16 AM EST,10.5,$650
24,"Monday, March 5, 2018",7:23 AM EST,8.5,$560
25,"Thursday, January 11, 2018",1:40 PM EST,12,$800
26,"Saturday, January 6, 2018",3:13 PM EST,9,$600
27,"Thursday, December 14, 2017",1:06 PM EST,7.5,$726
28,"Thursday, November 9, 2017",6:10 PM EST,10.5,$601
29,"Wednesday, September 20, 2017",9:40 AM EST,10.5,$850
30,"Monday, July 24, 2017",12:22 PM EST,10.5,$600
31,"Saturday, June 17, 2017",7:54 AM EST,11,$550
32,"Saturday, June 10, 2017",7:32 PM EST,7.5,$750
33,"Wednesday, May 24, 2017",3:10 PM EST,11,$741
34,"Sunday, May 14, 2017",4:34 AM EST,10.5,$750
35,"Monday, April 17, 2017",8:45 AM EST,10.5,$750
36,"Saturday, April 1, 2017",9:44 PM EST,11,$750
37,"Thursday, March 2, 2017",4:05 PM EST,11,$970
38,"Thursday, February 23, 2017",3:03 PM EST,11.5,$675
39,"Monday, January 23, 2017",3:29 PM EST,11,$726
40,"Monday, July 24, 2017",12:22 PM EST,10.5,$600
41,"Saturday, June 17, 2017",7:54 AM EST,11,$550
42,"Saturday, June 10, 2017",7:32 PM EST,7.5,$750
43,"Wednesday, May 24, 2017",3:10 PM EST,11,$741
44,"Sunday, May 14, 2017",4:34 AM EST,10.5,$750
45,"Monday, April 17, 2017",8:45 AM EST,10.5,$750
46,"Saturday, April 1, 2017",9:44 PM EST,11,$750
47,"Thursday, March 2, 2017",4:05 PM EST,11,$970
48,"Thursday, February 23, 2017",3:03 PM EST,11.5,$675
49,"Monday, January 23, 2017",3:29 PM EST,11,$726
50,"Sunday, January 22, 2017",6:47 PM EST,11,$655
51,"Friday, December 9, 2016",2:38 AM EST,10,$575
52,"Thursday, December 8, 2016",5:23 PM EST,11.5,"$1,200"
53,"Thursday, December 8, 2016",8:29 AM EST,12,$946
54,"Saturday, November 26, 2016",3:09 PM EST,12,"$1,031"
55,"Wednesday, November 23, 2016",3:45 PM EST,7.5,$650
56,"Monday, November 21, 2016",7:23 AM EST,11,"$1,031"
57,"Friday, November 18, 2016",5:12 PM EST,11,"$1,031"
58,"Thursday, November 17, 2016",9:11 AM EST,11,$660
59,"Tuesday, November 8, 2016",7:17 AM EST,6.5,$777
