,Date,Time,Size,Price
0,"Friday, March 1, 2019",12:45 PM EST,10.5,$600
1,"Monday, January 28, 2019",8:44 AM EST,12,$450
2,"Sunday, January 27, 2019",2:18 AM EST,8.5,$450
3,"Friday, November 30, 2018",1:29 AM EST,11,$560
4,"Thursday, September 27, 2018",9:28 PM EST,9.5,$600
5,"Friday, September 14, 2018",8:11 PM EST,10,$500
6,"Friday, March 9, 2018",8:42 AM EST,11,$800
7,"Friday, February 9, 2018",5:33 PM EST,8.5,$580
8,"Sunday, February 4, 2018",3:01 PM EST,9.5,$600
9,"Friday, January 26, 2018",5:31 AM EST,11.5,$700
10,"Saturday, January 13, 2018",10:13 PM EST,12.5,$600
11,"Wednesday, December 6, 2017",3:49 PM EST,12.5,$698
12,"Tuesday, November 21, 2017",9:00 PM EST,10.5,$595
13,"Sunday, October 15, 2017",5:50 PM EST,9.5,$888
14,"Saturday, September 9, 2017",11:57 AM EST,7.5,$976
15,"Friday, July 28, 2017",3:55 PM EST,11,$600
16,"Wednesday, July 12, 2017",10:22 PM EST,11,$551
17,"Monday, July 10, 2017",10:36 AM EST,10.5,$600
18,"Thursday, July 6, 2017",6:26 PM EST,8.5,$800
19,"Monday, April 24, 2017",1:09 AM EST,7.5,$800
20,"Thursday, March 30, 2017",6:36 PM EST,10,$720
21,"Wednesday, March 8, 2017",8:15 AM EST,9.5,$930
22,"Saturday, February 25, 2017",3:05 PM EST,10.5,$649
23,"Saturday, January 14, 2017",10:15 AM EST,6.5,$675
24,"Saturday, January 14, 2017",10:05 AM EST,7,$752
25,"Saturday, December 31, 2016",9:07 AM EST,7.5,$640
26,"Tuesday, December 20, 2016",11:19 PM EST,12,$900
27,"Saturday, December 17, 2016",7:46 PM EST,10.5,$700
28,"Friday, December 16, 2016",8:31 PM EST,10.5,$700
29,"Friday, November 25, 2016",8:36 AM EST,10.5,$749
30,"Wednesday, November 9, 2016",2:59 AM EST,9,$624
31,"Friday, October 21, 2016",6:21 AM EST,12.5,$599
32,"Thursday, September 15, 2016",5:18 PM EST,12.5,$752
33,"Sunday, August 21, 2016",10:30 AM EST,7.5,$828
34,"Thursday, August 4, 2016",9:50 PM EST,10.5,$600
35,"Saturday, July 30, 2016",11:38 AM EST,9.5,$896
36,"Tuesday, June 28, 2016",6:09 AM EST,6.5,$777
37,"Tuesday, April 26, 2016",1:32 PM EST,10.5,$762
38,"Friday, April 8, 2016",7:35 PM EST,10,$900
39,"Thursday, March 24, 2016",8:16 AM EST,8,$852
40,"Monday, March 21, 2016",4:47 PM EST,9,$800
41,"Friday, March 11, 2016",11:46 AM EST,9,$800
42,"Wednesday, March 9, 2016",3:46 PM EST,9,$800
43,"Saturday, March 5, 2016",8:03 AM EST,6.5,$700
44,"Saturday, February 27, 2016",7:10 AM EST,7.5,$750
45,"Monday, February 22, 2016",3:13 PM EST,9,$912
46,"Saturday, February 20, 2016",6:27 PM EST,11,$800
47,"Wednesday, February 10, 2016",11:16 PM EST,9,$912
48,"Thursday, February 4, 2016",1:30 PM EST,11.5,$825
49,"Tuesday, February 2, 2016",3:47 PM EST,8.5,$800
50,"Sunday, January 31, 2016",8:27 PM EST,11.5,$825
51,"Saturday, January 16, 2016",3:22 PM EST,10,$887
52,"Monday, January 11, 2016",12:24 AM EST,11.5,$749
53,"Sunday, January 10, 2016",7:49 PM EST,9,$800
54,"Friday, January 8, 2016",11:22 AM EST,8,$600
55,"Thursday, January 7, 2016",7:46 AM EST,11.5,$800
56,"Thursday, January 7, 2016",1:38 AM EST,7,$629
57,"Tuesday, January 5, 2016",11:14 AM EST,7.5,$712
58,"Tuesday, December 29, 2015",1:04 PM EST,7,$629
59,"Wednesday, December 16, 2015",3:43 PM EST,11.5,$850
