,Date,Time,Size,Price
0,"Saturday, March 2, 2019",12:38 PM EST,10,$569
1,"Friday, February 22, 2019",2:53 PM EST,7,$700
2,"Friday, February 15, 2019",11:04 AM EST,10.5,$650
3,"Sunday, January 27, 2019",3:11 AM EST,9,$750
4,"Tuesday, January 22, 2019",10:06 PM EST,11.5,$600
5,"Saturday, January 19, 2019",9:05 AM EST,7,$571
6,"Friday, January 18, 2019",3:26 AM EST,10.5,$500
7,"Thursday, January 17, 2019",3:22 PM EST,12,$950
8,"Wednesday, January 9, 2019",8:12 AM EST,8,$780
9,"Saturday, January 5, 2019",12:04 AM EST,8.5,$800
10,"Tuesday, December 4, 2018",9:02 AM EST,9.5,$525
11,"Tuesday, November 27, 2018",4:56 PM EST,9.5,$401
12,"Thursday, November 1, 2018",10:19 AM EST,12,$700
13,"Monday, October 15, 2018",6:48 PM EST,11.5,$699
14,"Saturday, September 22, 2018",12:57 AM EST,9,$625
15,"Monday, August 20, 2018",2:11 AM EST,9,$569
16,"Saturday, July 21, 2018",3:56 PM EST,9.5,$585
17,"Sunday, May 6, 2018",11:26 PM EST,9,$850
18,"Wednesday, April 18, 2018",12:26 PM EST,12,$347
19,"Wednesday, March 14, 2018",12:18 PM EST,9.5,"$1,100"
20,"Monday, February 26, 2018",9:42 AM EST,10.5,$666
21,"Sunday, February 25, 2018",5:52 AM EST,9,$550
22,"Sunday, February 18, 2018",11:45 PM EST,9.5,$850
23,"Monday, January 29, 2018",8:16 AM EST,7.5,$601
24,"Friday, January 19, 2018",6:52 PM EST,11.5,$750
25,"Thursday, December 21, 2017",5:14 PM EST,7.5,$445
26,"Thursday, December 21, 2017",5:12 PM EST,7.5,$460
27,"Wednesday, December 20, 2017",3:18 PM EST,7.5,$500
28,"Saturday, December 9, 2017",8:51 AM EST,9.5,$830
29,"Saturday, December 9, 2017",2:14 AM EST,9.5,$740
30,"Wednesday, November 29, 2017",9:30 PM EST,7.5,$435
31,"Monday, November 27, 2017",12:42 AM EST,8.5,$525
32,"Friday, November 24, 2017",2:01 PM EST,8,$510
33,"Tuesday, October 3, 2017",2:08 PM EST,10.5,$550
34,"Monday, October 2, 2017",12:29 AM EST,9,$530
35,"Saturday, September 30, 2017",6:41 AM EST,8,$300
36,"Thursday, September 14, 2017",11:47 AM EST,7.5,$475
37,"Friday, July 14, 2017",7:53 PM EST,11,$550
38,"Tuesday, June 20, 2017",12:58 PM EST,9,$620
39,"Saturday, May 27, 2017",9:08 PM EST,7,$625
40,"Sunday, March 5, 2017",8:13 AM EST,8.5,"$1,032"
41,"Sunday, February 26, 2017",6:45 PM EST,7.5,$600
42,"Saturday, February 25, 2017",11:46 PM EST,11,$600
43,"Wednesday, February 15, 2017",10:22 AM EST,9.5,"$1,027"
44,"Friday, January 27, 2017",2:26 AM EST,7.5,$956
45,"Saturday, January 14, 2017",8:53 AM EST,9.5,"$1,133"
46,"Wednesday, December 14, 2016",11:05 AM EST,7,$752
47,"Friday, December 2, 2016",2:00 PM EST,9.5,$620
48,"Wednesday, November 30, 2016",2:08 PM EST,9,$670
49,"Monday, November 28, 2016",6:06 AM EST,11,"$1,068"
