,Date,Time,Size,Price
0,"Sunday, February 3, 2019",1:38 PM EST,6W,$510
1,"Tuesday, November 27, 2018",11:04 AM EST,6.5W,$400
2,"Tuesday, October 16, 2018",3:52 PM EST,7.5W,$457
3,"Monday, October 8, 2018",8:34 PM EST,7.5W,$450
4,"Saturday, May 5, 2018",2:39 AM EST,7W,$500
5,"Thursday, December 21, 2017",8:52 PM EST,7.5W,$500
6,"Tuesday, December 12, 2017",10:54 AM EST,7.5W,$480
7,"Friday, November 24, 2017",11:32 PM EST,7W,$380
8,"Friday, June 23, 2017",7:28 PM EST,8W,$675
9,"Sunday, February 5, 2017",7:25 PM EST,6.5W,$475
10,"Saturday, February 4, 2017",9:45 AM EST,8W,$411
11,"Thursday, January 26, 2017",6:40 PM EST,8.5W,$350
